SERIAL;JOURV2;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D7_0;D7_1;D7_2;D8_0;D8_1;D8_2;D9;D10;D11_0;D11_1;D11_2;D11_3;D11_4;D11_5;D11_6;D12;D13;D14_0;D14_1;D14_2;D14_3;D14_4;D14_5;D14_6;D14_7;D14_8;D14_9;D14_10
812;1;2;1;6;60;5;2;1;3;3;3;2;10;2;;3;;2;2;;3;2;2;2;2;1;2;2;3;2;2;4;2;4;4;1;1;1;1;1;6;0;;;;;;1;3;;2;2;2;3;3;2;2;2;4;4;4;4;1;3;;;1;60;5;8;5;2;0;6;3;3;2;;;;5;2;2;1;5;3;3;1;4;3;1;4;2;3;3;1;1;4;1;1;2;4
813;1;2;2;4;42;11;1;1;5;3;1;10;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;2;1;1;1;6;60;2;;;;;2;3;2;2;2;2;2;2;2;2;2;2;1;3;2;5;;;;1;42;11;5;2;2;0;5;5;5;1;;;;2;2;2;1;1;2;2;1;2;5;3;2;1;2;1;1;1;1;1;5;1;2
814;1;1;1;10;29;8;2;7;7;3;1;5;8;1;3;2;;2;2;;1;2;1;2;2;2;2;1;2;2;2;10;2;3;2;1;1;1;1;1;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;29;8;9;2;0;0;4;;;;2;4;1;2;1;2;1;1;2;1;1;4;;2;2;1;3;2;1;1;1;1;1;1;1
815;1;1;1;1;51;6;4;1;5;1;2;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;2;1;1;1;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;2;4;3;2;3;;;;1;51;6;4;3;0;0;5;3;5;5;;;;3;5;2;2;1;2;1;1;1;4;2;2;2;1;1;2;2;2;2;2;3;3
816;1;1;2;5;92;1;5;2;4;4;4;7;6;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;4;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;1;1;1;1;4;;;;1;92;1;5;5;3;0;7;3;3;1;;;;5;2;2;1;1;1;1;1;4;3;2;4;3;3;3;1;1;1;2;1;5;2
817;1;1;2;7;75;1;5;1;3;2;1;10;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;0;;;;;;0;3;2;2;2;1;2;2;2;2;2;3;2;5;3;3;;;;1;75;1;4;3;0;0;6;1;1;1;;;;2;2;1;1;1;3;4;1;4;1;4;3;2;3;2;2;2;2;2;1;1;2
818;1;1;1;8;44;7;4;7;7;5;6;5;4;2;;4;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;2;1;1;2;6;90;1;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;44;7;4;2;0;0;2;2;3;1;;;;4;1;2;1;2;2;2;1;4;3;2;2;1;2;2;2;1;1;2;2;1;1
819;1;1;2;4;90;3;3;1;4;5;1;5;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;2;1;1;2;5;60;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;;;;1;90;3;4;3;2;0;5;5;3;1;;;;2;2;2;1;1;1;1;1;1;4;1;1;1;1;2;2;1;1;1;2;2;2
820;1;1;2;5;93;1;5;2;5;1;1;3;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;2;1;1;1;1;2;3;150;1;3;;;;4;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;93;1;4;3;0;0;4;5;2;2;;;;2;2;1;1;1;1;1;1;3;2;3;1;1;1;1;1;1;1;1;1;2;1
821;1;1;1;9;47;9;2;1;5;3;1;4;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;3;15;2;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;47;9;5;3;0;0;4;4;4;1;;;;2;1;1;1;1;2;1;1;4;3;2;1;1;2;1;1;1;1;1;1;1;1
822;1;2;1;2;69;11;4;8;8;1;5;2;7;1;3;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;2;2;1;1;2;1;6;35;1;;;;;2;4;;2;2;2;3;2;2;2;2;3;2;3;3;;;;;1;69;11;1;1;0;0;6;;;;3;4;1;2;2;2;1;1;2;2;1;2;;2;1;1;2;3;1;1;1;1;1;1;4
823;1;1;2;5;6;12;4;1;5;2;7;6;2;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;6;0;;;;;;3;5;2;2;2;2;2;2;2;2;2;3;3;3;3;4;;;;1;6;12;2;3;1;0;6;3;3;2;;;;3;3;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2
824;1;1;2;7;66;10;3;3;3;1;1;4;8;2;;3;;2;2;;3;3;3;3;3;3;3;3;3;3;3;10;1;3;1;1;1;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;;;;1;66;10;4;2;0;1;5;5;2;2;;;;1;2;2;1;3;2;3;1;3;3;2;1;1;3;1;1;2;1;2;2;2;1
825;1;1;2;5;69;11;3;1;3;3;1;2;3;1;3;3;;2;2;;2;1;1;2;1;1;2;2;1;2;2;0;1;4;3;1;1;1;1;1;1;420;4;;;;;10;2;2;2;2;2;2;2;2;2;2;4;4;4;4;1;3;;;1;69;11;10;5;3;0;5;;;;2;1;1;2;3;3;1;1;4;2;1;4;;1;1;1;1;3;1;1;1;1;1;1;2
826;1;1;2;4;63;11;1;4;6;2;2;3;1;1;3;3;;2;2;;1;2;1;2;1;2;2;1;2;2;2;8;3;6;2;3;1;1;1;1;6;0;;;;;;0;1;2;2;2;1;2;1;2;2;2;4;4;4;4;5;;;;1;63;11;6;2;0;0;5;;;;2;3;1;3;2;2;2;5;4;4;1;5;;2;2;2;4;2;1;1;1;2;1;1;4
827;1;2;2;4;54;6;2;1;4;3;6;1;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;1;2;10;1;2;1;2;2;1;1;2;6;60;1;;;;;10;3;2;2;2;1;2;2;2;2;2;4;3;4;3;5;;;;1;54;6;5;5;2;0;6;3;2;2;;;;3;2;3;1;3;2;3;2;2;2;3;2;1;2;1;1;2;2;2;2;1;2
828;1;1;1;5;82;10;3;1;6;3;1;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;1;1;2;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;82;10;4;2;0;0;4;5;5;2;;;;2;2;2;1;5;3;3;1;3;5;4;3;2;4;2;3;3;3;3;1;3;3
829;1;2;1;3;89;3;3;2;5;1;1;5;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;3;1;2;1;1;2;5;480;5;;;;;1;2;;2;2;2;2;2;2;2;2;4;3;4;4;5;;;;1;89;3;1;1;0;0;3;3;3;2;;;;4;2;2;2;2;2;2;2;3;3;2;1;1;2;1;1;2;1;1;2;2;2
830;1;1;1;6;14;4;4;1;3;2;4;1;3;1;6;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;3;480;4;;;;;5;2;;2;2;2;2;2;2;2;2;4;4;4;4;1;3;;;1;14;4;5;2;1;0;6;;;;3;2;2;3;2;1;1;1;2;1;1;3;;2;1;1;1;2;1;1;2;2;2;2;1
831;1;1;2;4;6;12;4;3;4;1;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;1;2;1;1;1;1;2;1;30;1;;;;;1;2;2;2;2;2;2;2;2;2;2;3;3;3;4;8;;;;1;6;12;3;1;0;0;5;5;5;2;;;;3;2;3;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;1
832;1;2;1;8;85;7;2;1;5;1;2;4;5;2;;4;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;4;3;2;2;2;6;5;6;60;1;4;;;;20;3;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;85;7;3;1;0;0;1;3;3;2;;;;4;2;2;2;2;2;4;2;4;4;2;1;2;4;2;2;1;1;1;1;1;2
833;1;1;2;6;40;9;1;4;4;2;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;1;1;1;1;1;2;2;150;1;3;;;;0;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2;;;;1;40;9;4;2;0;0;5;3;2;2;;;;2;5;2;2;2;2;2;1;4;2;2;2;2;3;2;1;1;1;2;1;1;1
834;1;3;2;10;59;5;4;7;7;6;8;9;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;3;1;1;1;1;1;3;90;1;;;;;0;3;2;1;2;2;2;2;2;2;2;2;2;2;4;;;;;1;59;5;4;1;0;0;1;3;3;2;;;;2;2;2;1;2;1;2;1;2;5;5;1;1;1;1;1;1;1;1;3;1;1
835;1;2;2;4;26;11;1;2;5;7;1;2;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;4;3;4;4;;;;1;26;11;4;2;2;0;4;5;5;1;;;;1;2;5;1;1;3;2;1;3;3;3;1;1;2;1;1;1;1;1;4;1;1
836;1;1;2;4;66;10;4;2;5;1;1;5;3;2;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;2;2;1;1;6;2;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;1;1;3;5;;;;1;66;10;1;1;0;0;5;3;1;2;;;;2;2;1;2;2;2;2;1;2;5;4;1;1;4;1;1;1;1;1;1;1;1
837;1;1;2;7;69;11;4;1;4;1;6;8;3;1;2;2;;2;2;;2;1;1;1;1;1;1;2;1;1;2;9;1;1;1;1;1;1;1;1;2;750;1;4;;;;30;4;2;2;2;2;2;2;2;1;2;4;3;4;4;1;;;;1;69;11;2;1;0;0;6;;;;3;3;1;3;5;1;1;1;3;1;1;4;;2;1;2;3;2;1;1;2;1;3;1;1
838;1;1;2;4;95;1;5;1;5;1;3;2;4;2;;3;;2;2;;2;2;2;2;2;2;2;1;2;2;2;10;1;1;3;2;2;1;1;2;2;540;1;4;;;;50;3;2;2;2;3;2;2;2;2;2;3;3;4;4;1;;;;1;95;1;2;1;0;0;5;5;5;2;;;;2;3;5;2;5;4;2;1;1;5;3;1;1;2;3;1;1;1;1;1;3;2
839;1;2;2;4;56;8;2;6;8;3;1;4;10;1;3;3;;2;2;;2;2;2;2;2;2;2;2;2;1;1;7;1;4;1;1;1;1;1;2;4;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;4;1;3;3;;;;;1;56;8;7;5;3;0;4;;;;2;4;1;2;2;2;1;5;3;2;1;4;;4;1;1;3;1;1;1;1;3;1;1;1
840;1;1;2;5;13;12;4;1;5;1;8;4;2;2;;3;;2;2;;2;2;2;2;1;2;2;2;1;2;2;10;1;1;1;2;2;1;1;1;6;60;2;;;;;2;5;2;2;2;2;2;2;2;2;2;1;1;1;1;3;;;;1;13;12;3;1;0;0;6;5;5;5;;;;4;2;2;2;2;3;3;2;4;4;1;1;1;3;2;1;1;2;1;1;3;2
841;1;1;2;7;77;1;2;6;8;2;4;9;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;2;6;90;1;;;;;2;4;2;2;2;2;2;2;2;2;2;3;3;4;4;;;;;1;77;1;4;4;0;0;3;2;2;2;;;;4;2;2;2;2;3;3;2;4;3;3;1;1;4;2;1;1;1;1;2;2;1
842;1;2;2;8;35;8;2;1;5;5;11;11;11;1;1;3;;1;2;;2;2;2;2;2;2;2;3;2;3;2;10;1;2;1;1;1;1;1;1;3;50;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;6;;;;1;35;8;5;2;0;0;3;;;;3;3;4;1;2;2;1;1;1;1;1;1;;4;1;1;2;3;2;5;2;1;1;2;2
843;1;2;2;3;74;11;2;1;5;7;3;4;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;2;6;35;2;;;;;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;74;11;3;2;0;0;4;3;4;1;;;;4;1;2;1;2;2;3;1;4;4;2;1;1;3;1;1;1;1;1;1;1;1
844;1;2;2;2;75;1;5;8;8;1;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;4;0;;;;;;0;5;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;75;1;4;4;0;0;6;3;3;1;;;;3;2;2;1;2;2;2;1;4;3;2;1;1;3;1;1;1;1;1;1;1;1
845;1;1;2;4;82;10;2;2;5;3;1;6;7;2;;3;;2;2;;2;2;2;2;2;1;2;2;1;2;2;10;1;1;1;1;3;1;1;2;4;30;2;;;;;3;2;2;2;2;2;2;2;2;2;2;3;3;4;3;4;;;;1;82;10;5;5;3;2;5;3;5;1;;;;3;2;2;2;5;2;2;1;3;4;4;1;1;1;2;1;2;2;2;2;3;1
846;1;2;1;3;83;12;2;3;2;1;2;5;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;6;6;6;6;1;1;4;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;2;;;;1;83;12;1;1;0;0;6;3;2;2;;;;4;2;3;2;2;2;2;2;2;3;3;1;2;4;2;2;2;2;1;1;2;2
847;1;1;2;6;29;8;1;1;4;4;1;7;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;6;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;3;;;;1;29;8;5;1;0;0;6;4;3;2;;;;2;2;2;2;1;2;2;1;4;3;2;1;2;3;2;2;1;1;2;2;3;2
848;1;1;2;7;2;5;2;1;5;2;1;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;6;6;6;1;6;0;;;;;;0;2;2;2;2;1;2;2;2;2;2;4;4;4;4;5;;;;1;2;5;4;2;0;0;4;5;5;5;;;;3;2;2;2;2;2;2;2;4;3;2;1;1;3;2;1;2;2;1;2;2;2
849;1;2;2;5;84;12;4;1;5;5;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;4;4;2;1;1;1;6;60;1;;;;;5;2;2;2;2;2;2;2;2;2;2;4;4;4;4;6;;;;1;84;12;3;2;1;0;4;5;5;1;;;;3;2;2;1;1;2;2;1;3;3;1;1;1;4;2;1;1;1;1;1;1;1
850;1;1;2;6;40;9;2;3;2;7;7;4;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;3;1;2;1;1;1;1;3;60;1;;;;;6;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;;;;1;40;9;6;3;1;0;6;5;5;3;;;;3;3;3;2;2;2;2;1;4;3;2;2;3;4;3;1;1;2;2;4;4;2
851;1;1;1;4;69;11;4;1;5;3;1;7;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;6;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;69;11;5;5;3;0;4;5;5;5;;;;2;5;2;1;1;3;1;1;4;5;5;2;1;4;1;1;1;1;1;1;2;1
852;1;2;1;4;17;9;1;1;5;5;1;7;10;2;;2;;2;2;;2;2;2;2;2;2;1;2;2;2;2;6;1;2;2;3;2;2;2;2;6;0;;;;;;0;2;;2;2;1;2;2;2;2;2;3;2;3;3;4;;;;1;17;9;2;1;0;0;4;2;2;1;;;;2;2;3;1;2;2;2;2;3;2;1;1;1;1;2;1;1;1;2;2;2;2
853;1;2;1;4;57;6;3;1;5;1;2;4;5;2;;2;;2;2;;2;2;1;2;1;1;2;2;2;2;2;8;3;3;2;2;2;2;1;2;4;480;4;;;;;8;2;;2;2;2;2;2;2;2;2;3;2;2;3;1;;;;1;57;6;5;1;0;0;5;3;5;2;;;;3;3;2;1;3;2;4;1;3;3;3;2;1;4;2;3;1;1;1;1;2;1
854;1;1;1;5;91;1;5;1;4;7;1;4;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;1;4;2;5;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;1;5;;;;1;91;1;4;5;3;0;5;4;4;2;;;;4;2;3;1;1;2;2;1;4;3;2;1;2;1;2;2;1;1;1;1;2;2
855;1;2;1;2;62;5;4;4;5;1;2;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;1;1;1;1;1;1;4;60;1;;;;;1;4;;2;2;2;2;2;2;2;2;4;4;4;2;6;;;;1;62;5;7;4;0;0;4;3;2;1;;;;2;2;2;2;2;2;1;2;4;2;2;1;2;2;2;2;2;2;1;1;2;2
856;1;1;2;8;74;11;1;1;5;3;1;8;5;1;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;2;2;50;2;;;;;0;1;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;1;74;11;2;2;0;2;3;;;;3;3;1;3;2;2;1;1;2;1;1;4;;2;1;1;1;1;1;1;1;1;1;1;1
857;1;2;2;4;69;11;4;2;3;4;7;4;11;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;3;2;1;1;5;1;6;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;1;2;3;1;3;;;;1;69;11;5;1;1;0;6;2;2;1;;;;3;2;4;2;1;3;1;1;3;3;3;2;2;1;2;2;1;1;1;3;3;3
858;1;1;1;7;33;9;3;1;6;3;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;6;0;;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;3;4;4;;;;1;33;9;6;5;3;0;4;5;5;2;;;;2;2;2;1;2;5;2;2;1;5;3;1;1;3;2;2;1;1;2;1;2;1
859;1;2;1;1;75;1;5;4;5;1;9;7;1;1;7;3;;2;2;;2;1;2;2;2;2;2;1;2;2;2;8;1;2;3;1;1;2;2;2;1;0;;;;;;1;5;;2;2;2;2;2;2;2;2;2;3;2;2;6;;;;1;75;1;4;5;1;0;4;;;;4;3;2;2;2;2;2;2;3;2;1;2;;3;1;1;2;1;3;2;1;2;1;4;1
860;1;1;1;9;47;9;3;7;7;3;1;6;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;2;5;1;1;1;1;4;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;47;9;6;3;0;1;5;2;3;1;;;;2;2;2;1;1;2;1;1;4;3;3;2;2;2;1;2;1;2;1;1;1;1
861;1;2;1;4;60;5;2;1;4;7;1;4;3;2;;3;;2;2;;2;3;2;3;2;2;2;2;2;2;2;8;2;3;5;1;1;2;1;1;3;15;1;;;;;0;4;;2;2;3;3;3;1;2;2;4;4;3;4;3;;;;1;60;5;6;2;1;0;5;3;1;1;;;;3;2;3;1;1;2;2;1;3;1;3;1;1;3;1;2;1;1;1;2;3;2
862;1;1;1;1;43;11;2;8;8;1;1;2;5;2;;3;;2;2;;2;1;1;2;1;2;2;2;2;2;2;10;1;4;2;2;2;2;3;3;4;301;4;;;;;1;2;;2;2;2;2;2;2;2;2;1;2;3;2;;;;;1;43;11;4;3;1;0;4;2;2;1;;;;1;2;3;1;1;2;1;1;3;2;2;1;3;3;2;1;2;2;1;1;2;3
863;1;2;2;4;6;12;4;2;4;3;8;3;2;2;;2;;2;2;;2;2;1;2;1;2;2;2;1;2;2;9;1;1;2;1;2;1;1;6;2;120;1;2;;;;3;3;2;2;2;2;2;2;2;1;2;3;3;3;4;1;8;;;1;6;12;4;3;1;0;6;2;3;2;;;;3;1;2;3;2;4;2;1;2;2;1;1;2;1;3;1;1;1;1;1;1;2
864;1;2;1;4;15;11;1;1;6;2;2;4;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;5;2;1;1;5;1;2;5;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;1;15;11;5;2;2;0;4;3;2;3;;;;2;4;2;2;2;4;2;2;2;2;1;1;1;1;4;2;1;1;2;1;2;3
865;1;2;1;3;83;12;4;1;5;7;3;10;9;2;;3;;1;2;;2;2;2;1;2;2;2;2;2;2;2;9;1;3;2;1;1;1;1;1;5;120;1;2;;;;25;2;;2;2;2;2;2;2;2;2;3;3;3;1;5;;;;1;83;12;3;2;1;0;4;2;2;2;;;;2;2;2;1;2;2;2;1;4;3;1;1;1;3;3;1;1;1;1;1;1;2
866;1;1;2;6;34;10;2;1;4;3;1;2;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;4;6;7;1;2;1;1;2;4;25;1;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;3;5;;;;1;34;10;6;4;1;0;5;4;3;1;;;;3;2;3;1;1;3;2;1;4;4;3;1;1;4;1;1;1;1;1;1;1;1
867;1;1;1;2;45;2;1;1;5;3;1;6;11;2;;1;;1;1;0.0;2;2;2;2;2;2;1;2;1;1;1;8;2;3;2;2;2;2;1;2;2;0;;;;;;1;2;;2;3;3;3;3;3;3;3;1;3;1;1;1;;;;1;45;2;;3;1;0;6;2;2;2;;;;3;2;2;2;3;4;4;2;2;2;2;3;2;3;2;2;2;2;2;2;3;2
868;1;2;1;3;88;6;3;1;3;7;1;7;9;2;;3;;1;1;0.0;2;2;1;3;1;1;2;2;2;2;2;9;1;2;1;1;1;1;1;1;4;40;2;;;;;0;3;;2;3;2;2;2;2;2;2;4;4;4;4;3;;;;1;88;6;5;4;2;0;6;5;2;1;;;;2;1;4;1;1;3;4;1;4;3;4;1;1;1;1;1;1;1;1;1;1;1
869;1;3;2;6;44;7;4;1;5;2;1;10;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;2;60;1;;;;;10;2;2;2;2;2;2;2;2;2;2;1;2;3;3;3;;;;1;44;7;3;2;0;0;6;4;5;1;;;;1;1;1;1;1;2;2;1;3;2;3;1;1;3;1;2;1;1;1;2;2;2
870;1;3;2;5;91;1;5;1;5;3;4;8;3;2;;2;;2;2;;1;2;2;2;2;2;2;1;2;2;2;7;1;2;1;1;1;2;1;1;6;0;;;;;;0;2;2;2;2;3;2;2;2;2;2;3;2;3;3;3;;;;1;91;1;4;4;2;0;6;4;3;1;;;;3;2;2;1;2;2;2;1;4;3;2;1;1;2;1;1;1;1;2;2;2;2
871;1;2;2;3;78;1;5;4;5;3;1;2;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;1;1;2;6;60;1;;;;;20;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;78;1;3;5;3;0;6;5;5;2;;;;1;2;2;1;1;2;2;1;2;5;2;1;1;1;2;1;1;1;1;1;3;1
872;1;1;1;7;27;4;1;1;3;3;1;6;3;2;;2;;2;1;0.0;2;2;1;1;1;2;2;2;2;2;2;5;2;6;3;5;6;6;1;1;6;0;;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;1;27;4;8;3;1;0;6;5;5;5;;;;4;2;2;2;1;2;2;2;3;3;2;2;2;2;2;2;2;2;2;1;2;2
873;1;1;2;5;29;8;1;1;5;3;8;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;1;1;4;50;2;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;3;2;5;;;;1;29;8;6;5;3;0;4;3;5;2;;;;3;2;2;2;2;2;2;1;4;3;2;1;1;3;2;2;1;1;1;1;3;2
874;1;2;1;6;81;10;1;3;2;5;1;5;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;1;1;1;1;1;1;6;60;1;;;;;1;3;;2;2;1;2;2;1;2;2;3;3;4;3;6;;;;1;81;10;4;1;0;0;3;3;2;1;;;;2;1;1;1;1;2;2;1;4;3;1;1;1;1;2;1;1;1;1;1;1;1
875;1;1;2;10;94;1;5;7;7;6;1;8;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;1;1;2;1;1;1;1;2;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;2;4;4;;;;;1;94;1;4;1;0;0;6;2;3;2;;;;2;3;2;1;1;1;1;1;3;3;3;2;1;2;2;2;1;1;1;1;2;3
876;1;2;2;7;67;6;2;1;4;3;1;3;10;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;6;2;855;4;;;;;4;5;2;2;2;2;2;2;2;2;2;4;4;4;4;1;8;;;1;67;6;4;4;0;0;5;2;3;1;;;;3;1;2;1;1;3;2;1;4;3;1;2;2;3;2;2;1;1;1;1;2;2
877;1;1;2;1;31;10;4;8;8;2;5;8;1;2;;2;;1;2;;2;2;1;1;2;1;2;2;2;2;2;7;3;2;1;1;1;1;1;1;1;45;1;;;;;0;1;2;2;2;2;2;2;2;2;2;2;1;2;2;;;;;1;31;10;2;2;0;0;4;2;3;1;;;;2;1;2;1;1;4;4;1;2;3;3;2;1;3;1;1;1;1;1;1;2;3
878;1;2;2;1;95;1;5;8;8;1;1;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;1;1;2;2;9;1;2;1;2;2;1;1;1;3;40;1;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;3;3;;;;;1;95;1;7;6;2;0;6;3;3;1;;;;1;2;2;2;2;3;5;1;4;3;3;3;2;3;2;2;2;2;3;2;3;2
879;1;2;1;4;58;3;2;3;4;3;1;8;9;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;1;4;1;2;1;1;6;1;600;4;;;;;30;3;;2;2;2;3;2;2;2;2;4;3;3;4;1;;;;1;58;3;5;4;2;2;6;2;3;2;;;;2;2;2;2;2;3;3;2;2;3;2;1;2;2;1;1;1;1;1;1;3;1
880;1;1;2;5;57;6;4;1;4;1;8;1;2;1;1;1;;3;3;;1;1;2;1;2;2;2;2;1;2;2;9;1;2;1;1;3;1;1;2;3;60;1;;;;;3;4;2;2;2;2;2;2;2;2;2;3;3;3;4;1;;;;1;57;6;3;2;1;0;6;;;;2;2;2;1;2;1;1;1;3;3;1;2;;1;1;1;3;4;1;1;1;1;1;1;1
881;1;2;2;1;61;4;2;8;8;1;10;1;3;1;3;3;;2;1;38.1;2;2;1;2;2;1;2;2;2;2;2;9;1;1;1;1;1;1;1;1;6;30;2;3;;;;1;2;2;2;2;2;2;2;2;2;2;3;2;3;4;;;;;1;61;4;4;2;0;0;4;;;;3;3;3;1;3;1;1;1;4;2;1;2;;1;1;2;2;3;3;3;3;2;3;3;2
