SERIAL;JOURV8;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B5Q;B5AQ;B5BQ;B5CQ;B6Q_0;B6Q_1;B6Q_2;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;Q411;Q412;Q413;Q414;Q415;Q416;Q417;Q418;Q419;Q4110;Q4111;Q4112;Q4113;Q4114;Q4115;Q4116;Q4117;Q4118;Q4119;Q4120;Q4121;Q4122;Q4123;Q4124;Q4125;Q4126;Q4127;Q4128;Q4129;Q4130;Q4131;Q421;Q422;Q423;Q424;Q425;Q426;Q427;Q428;Q429;Q4210;Q4211;Q4212;Q4213;Q4214;Q4215;Q4216;Q4217;Q4218;Q4219;Q4220;Q4221;Q4222;Q4223;Q4224;Q4225;Q4226;Q4227;Q4228;Q4229;Q4230;Q4231;Q43_0;Q43_1;Q43_2;Q44_0;Q44_1;Q44_2;Q45;Q46;Q47Q_0;Q47Q_1;Q48Q_0;Q48Q_1;Q410V1Q;Q410V2Q;Q411V1Q;Q411V2Q;Q412V;Q413V;D70V;D71V;D72_0;D72_1;D72_2;D72_3;D72_4;D72_5;D72_6;D73
2330;1;1;1;8;77;1;5;7;7;2;5;3;10;2;;2;3;;2;9;1;1;1;1;1;1;1;2;2;150;0;;;;1;0;0;3;3;1;3;;;;;1;77;1;6;2;0;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;7;1;1;1;7;4;30;70;30;70;;;;;1;2;3;2;1;1;3;1;1;1;1;1
2331;1;2;1;7;10;6;4;1;5;1;1;2;3;2;;2;3;;2;6;1;2;1;1;1;1;4;4;2;600;5;;52;56;2;0;2;1;2;3;3;1;;;;1;10;6;3;1;0;0;5;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;4;5;50;50;50;50;0;;;;1;4;2;3;1;1;1;1;1;1;1;1
2332;1;2;2;3;77;1;2;1;4;3;1;7;2;1;5;;1;;2;8;1;1;1;1;1;1;1;1;1;150;0;;;;0;1;0;3;3;3;3;3;;;;1;77;1;5;4;2;0;5;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;5;6;6;1;2;2;6;3;10;90;20;80;0;;;;1;3;2;2;2;2;2;2;2;1;2;1
2333;1;2;2;4;84;12;4;6;8;3;7;8;3;2;;2;3;;2;8;2;2;1;1;1;1;2;2;2;0;0;;;;0;1;0;3;3;3;4;;;;;1;84;12;6;5;3;0;5;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;3;3;4;1;1;1;7;5;80;20;80;20;;;;;2;1;2;2;2;2;2;2;2;2;2;2
2334;1;1;2;7;13;12;4;4;5;1;5;2;8;2;;2;3;;1;8;1;2;1;1;2;1;2;2;2;540;1;58;;;0;0;1;3;3;4;3;7;;;;1;13;12;5;3;0;2;4;1;;;;;;;;;;;;;;;;1;2;2;;1;;;;;;;;;;;2;1;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;4;7;2;1;2;1;8;9;5;95;10;90;;;;1;2;3;2;2;2;1;3;1;2;2;2;1
2335;1;1;1;8;64;9;2;1;3;3;9;3;10;2;;4;3;;2;7;2;2;5;2;2;1;1;2;3;40;7;;62;50;0;2;2;4;4;4;4;3;;;;1;64;9;7;3;0;0;6;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;2;;;;;;;;;;;;2;3;5;3;3;2;7;8;50;50;50;50;1;;90;;1;2;2;3;3;1;3;1;3;1;1;1
2336;1;2;1;10;85;7;2;7;7;3;4;3;8;2;;2;3;;2;6;2;2;1;2;2;1;2;2;2;120;1;71;;;1;0;0;4;4;4;4;;;;;1;85;7;7;2;0;2;6;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;1;1;1;3;2;3;7;8;50;50;70;30;;;;;2;2;1;2;1;1;1;1;1;1;1;1
2337;1;1;2;7;30;10;1;6;8;3;2;9;10;2;;2;3;;2;6;5;5;5;5;3;1;2;2;4;300;20;;;;0;0;0;4;4;4;4;;;;;1;30;10;5;2;0;0;1;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;3;3;4;1;1;1;4;5;20;80;30;70;;;;;2;3;1;3;1;1;1;1;1;1;1;1
2338;1;1;1;3;86;9;3;1;3;7;3;5;6;2;;2;3;;2;7;1;1;1;1;3;1;1;3;2;480;5;;;;0;0;0;4;2;2;3;1;;;;1;86;9;8;4;2;0;6;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;2;1;1;;;;;2;2;2;2;2;2;8;9;50;50;50;50;0;;;;2;4;2;2;1;1;2;1;1;2;1;1
2339;1;2;1;2;59;5;4;1;3;2;6;3;10;2;;2;3;;2;4;2;2;1;2;2;2;2;2;5;0;0;;;;1;0;0;3;3;2;3;3;;;;1;59;5;4;2;0;0;6;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;6;4;2;1;3;3;7;6;0;100;30;70;5;;70;;2;3;2;2;1;1;3;1;1;3;2;3
2340;1;1;2;10;33;9;4;7;7;3;5;2;7;2;;2;3;;2;4;1;2;2;2;1;4;1;2;2;190;20;;70;35;0;5;0;4;4;4;4;;;;;1;33;9;7;2;0;1;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;6;6;70;30;100;0;;;;;2;3;3;2;3;3;3;3;3;1;2;3
2341;1;1;2;10;78;1;5;7;7;5;8;1;3;1;2;;3;;2;10;1;1;1;1;1;1;1;2;1;240;50;;;;0;0;0;4;4;4;4;;;;;1;78;1;3;1;0;1;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;7;7;7;2;2;2;5;1;50;50;50;50;;;;;2;3;2;2;1;1;2;1;1;1;2;1
2342;1;1;2;5;37;2;4;1;4;1;4;3;5;2;;2;3;;2;2;3;3;3;3;4;5;3;4;2;490;10;;15;65;5;5;5;3;2;3;3;1;;;;2;37;2;3;1;1;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;1;;2;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;3;2;1;2;2;2;5;5;50;50;50;50;50;;80;;2;2;2;2;2;1;3;2;2;2;1;3
2343;1;2;2;6;57;6;2;1;3;2;3;1;6;2;;2;3;;1;8;2;3;2;1;1;1;1;1;3;20;2;;;;0;0;0;1;2;2;2;1;;;;1;57;6;4;1;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;6;5;2;2;2;1;9;50;50;50;50;;;;;2;2;2;1;1;1;2;2;2;2;2;1
2344;1;1;2;1;92;1;5;8;8;1;9;1;4;2;;2;3;;2;7;1;1;1;1;1;1;1;1;1;8;2;;78;50;0;1;0;3;3;3;3;;;;;1;92;1;5;3;0;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;2;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;1;3;1;3;7;9;20;80;35;65;;;;;2;3;3;2;2;1;1;2;2;2;2;2
2345;5;2;1;10;75;1;5;7;7;5;9;10;11;2;;2;1;;1;7;1;2;2;1;2;1;1;2;1;150;2;;50;50;4;0;0;4;4;4;4;;;;;1;75;1;2;1;0;0;5;1;;;;;;;;;;;;;;;;1;2;2;;2;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;7;7;7;1;1;1;6;1;50;50;50;50;;;;;1;3;1;2;1;1;3;1;1;1;1;1
2346;1;2;1;3;54;6;2;3;3;7;8;6;3;2;;2;1;;2;7;1;1;1;1;1;1;1;2;1;60;0;;;;0;0;0;4;3;4;4;1;;;;1;54;6;5;3;1;0;6;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;6;1;1;2;3;3;7;5;50;50;50;50;;0;;;2;2;4;1;3;2;2;1;1;3;2;1
2347;1;1;2;9;68;6;3;5;8;3;5;6;1;2;;2;1;;1;10;1;2;1;1;2;1;1;4;3;0;0;;;;25;50;0;4;4;4;4;;;;;1;68;6;4;2;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;7;7;7;2;2;2;7;1;;;;;;;;;2;3;4;1;1;1;2;2;1;2;2;1
2348;1;1;2;10;54;6;1;6;8;3;4;10;2;2;;2;3;;2;5;2;2;4;1;2;1;1;2;3;150;20;;;45;3;0;0;4;4;4;4;;;;;1;54;6;5;2;0;1;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;5;4;0;100;0;100;;;;;2;4;1;2;2;2;3;2;2;1;1;1
2349;1;1;1;4;32;10;1;1;5;7;10;5;1;2;;2;3;;2;7;2;3;2;2;2;2;1;2;3;420;0;;;;0;0;0;3;3;3;3;1;;;;1;32;10;5;4;2;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;6;1;10;90;10;90;;;;;1;2;3;1;2;2;3;2;2;2;2;1
2350;1;2;2;10;83;12;2;7;7;7;1;6;3;2;;2;3;;2;7;1;2;1;2;1;1;1;3;3;210;1;70;;;2;0;0;4;4;4;3;;;;;1;83;12;5;2;0;2;5;2;1;;;;;;;;2;2;2;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;3;2;1;1;1;1;7;8;50;50;50;50;;;;;2;2;2;2;1;1;1;1;1;1;1;1
2351;1;1;2;3;62;5;3;1;5;3;8;5;1;1;2;;2;;2;7;1;2;2;2;1;1;1;6;2;330;200;;;40;0;2;2;4;3;1;4;8;;;;1;62;5;6;2;1;0;6;1;;;;;;;;;;;;;;;;1;2;2;;1;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;6;5;1;1;1;1;6;9;0;100;100;0;0;;;;1;1;2;2;3;1;3;2;3;1;1;1
2352;1;1;2;7;76;4;4;1;4;3;8;10;1;2;;2;3;;2;7;1;2;1;1;2;1;2;6;1;1200;10;;;;0;1;5;4;4;4;3;1;;;;1;76;4;6;3;1;0;6;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;7;6;50;50;0;100;;;;;1;2;2;2;1;1;1;1;1;1;2;1
2353;2;2;1;10;92;1;5;7;7;3;4;3;7;2;;2;3;;2;8;2;4;4;1;1;1;2;3;1;120;12;;45;45;1;3;0;4;3;4;3;;;;;1;92;1;3;2;0;2;6;2;2;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;1;;;;;;;;;;;;;;;;1;1;1;1;2;2;7;4;;;100;0;;;;;2;2;2;2;1;1;3;3;3;1;1;1
2354;1;1;2;7;40;9;2;2;5;3;9;1;2;2;;2;3;;1;9;2;2;2;2;2;2;1;4;2;600;0;;;;3;1;4;3;2;4;3;1;;;;1;40;9;9;4;1;0;4;1;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;3;3;3;3;3;3;7;6;50;50;100;0;0;;;;2;3;3;2;1;1;2;1;1;1;1;1
2355;1;1;1;6;1;11;2;1;3;4;3;7;4;2;;2;3;;2;2;2;3;2;2;2;3;2;3;4;720;25;;47;35;7;1;5;2;3;3;2;1;3;;;1;1;11;6;3;2;0;6;2;2;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;1;1;;;;;;;;;1;2;1;1;1;1;7;6;50;50;50;50;0;;;;2;2;3;3;3;3;3;3;3;1;3;1
2356;1;2;2;7;53;7;1;1;6;3;2;8;6;2;;2;3;;2;6;1;2;1;1;1;1;2;3;3;540;5;;32;38;0;0;12;4;4;4;4;1;;;;1;53;7;5;2;0;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;6;1;60;40;60;40;20;;40;;2;2;2;2;1;1;2;1;3;1;2;1
2357;1;1;2;4;69;11;4;6;8;3;4;5;9;2;;2;3;;2;5;1;3;1;1;2;5;1;3;4;150;5;;;;0;1;0;4;4;4;4;;;;;1;69;11;4;6;4;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;1;3;3;8;9;50;50;;;;;;;2;4;2;2;1;1;2;1;1;1;1;1
2358;1;1;2;5;22;8;3;1;5;2;5;1;10;2;;2;3;;2;6;1;7;2;1;2;2;2;2;1;0;1;39;;;6;0;5;2;1;1;2;1;;;;1;22;8;2;2;0;0;4;1;;;;;;;;;;;;;;;;1;1;;;;2;;1;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;3;7;1;2;3;3;4;1;90;10;100;0;80;;80;;2;1;3;1;1;3;2;2;2;3;3;1
2359;1;1;2;8;91;1;5;5;8;3;1;3;9;2;;2;3;;1;9;2;2;2;2;2;2;1;2;1;210;60;;24;65;2;2;0;1;2;3;3;;;;;1;91;1;5;3;0;0;6;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;3;3;7;2;2;1;7;8;0;100;0;100;;;;;2;1;2;2;1;3;1;1;1;3;2;1
2360;1;2;1;5;44;7;1;4;8;3;5;1;7;1;2;;3;;2;6;1;4;2;2;4;1;3;3;3;246;0;;;;0;2;0;3;4;4;2;;;;;1;44;7;7;3;1;0;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;1;1;1;1;1;1;1;1;1;50;50;;;;;;10;2;3;4;2;1;2;1;1;1;2;3;2
2361;1;1;1;1;88;6;2;8;8;1;4;8;6;1;3;;1;2;2;5;1;4;2;1;2;2;2;2;4;90;1;45;;;1;1;0;4;4;4;4;;;;;1;88;6;9;4;2;0;2;1;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;1;;;;2;;2;;;;;;;;1;1;1;3;3;3;8;9;;;;;;;;;2;3;3;2;3;1;3;1;1;3;2;2
2362;1;2;2;4;57;6;4;5;8;2;5;4;9;2;;2;3;;2;8;1;1;1;1;2;1;2;2;2;120;10;;40;;1;2;0;3;3;3;2;;;;;1;57;6;3;4;2;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;2;2;7;2;1;2;6;3;30;70;30;70;;;;;2;3;4;2;2;2;2;2;2;2;2;2
2363;1;1;2;5;6;12;4;1;5;2;5;6;2;2;;2;3;;2;7;1;1;4;1;1;1;1;1;2;80;20;;;;1;0;0;2;2;2;2;5;;;;1;6;12;3;3;1;2;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;3;3;3;6;3;20;80;30;70;20;;20;;2;3;2;3;1;1;1;1;1;1;1;1
2364;1;1;2;5;83;12;4;1;5;5;4;10;3;2;;2;3;;2;3;1;4;2;1;1;1;2;2;2;320;15;;35;66;1;4;0;1;2;1;1;4;;;;1;83;12;3;3;2;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;2;2;2;4;9;0;100;0;100;;;;;2;3;3;3;1;1;1;1;1;1;1;3
2365;1;2;2;7;78;1;1;1;3;2;11;11;11;2;;4;3;;2;8;1;1;2;1;1;1;1;1;2;90;2;;30;50;0;0;0;4;3;4;4;2;;;;1;78;1;4;2;2;0;6;1;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;1;;2;3;3;2;3;3;3;7;5;20;80;20;80;30;;20;;2;1;2;2;1;3;2;3;1;1;1;1
2366;1;2;2;4;35;8;3;2;4;2;3;4;9;2;;2;3;;2;7;3;4;2;3;1;1;1;2;3;270;2;;62;54;1;0;2;1;4;4;4;1;5;;;1;35;8;3;2;0;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;3;2;45;55;60;40;0;;;;2;3;3;1;2;2;2;2;2;2;2;1
2367;1;1;1;10;57;6;2;7;7;6;1;8;6;2;;2;3;;2;9;2;3;4;4;1;1;1;2;4;0;0;;;;2;1;0;4;4;4;4;;;;;1;57;6;4;1;0;0;3;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;5;5;70;30;70;30;;;;;2;2;2;2;1;1;3;1;1;1;3;1
2368;1;1;2;7;56;8;1;5;8;3;6;5;8;2;;2;3;;2;5;1;2;2;1;1;1;2;2;2;120;0;;;;0;0;0;4;4;4;4;;;;;1;56;8;5;2;0;0;5;2;2;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;1;;1;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;6;6;0;100;0;100;;;;;2;2;2;2;1;1;1;2;1;3;1;1
2369;1;3;1;10;39;3;3;7;7;3;1;6;7;2;;2;3;;2;7;1;3;1;1;2;1;1;2;2;75;4;;50;;0;2;0;4;4;4;4;;;;;1;39;3;5;2;0;2;4;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;1;2;;;;;;;;;;;;7;3;7;3;2;2;6;5;80;20;80;20;;;;;1;3;1;2;1;1;3;1;1;1;1;1
2370;1;1;2;5;42;11;1;1;5;3;1;2;3;2;;2;3;;2;8;2;3;1;3;2;1;2;2;3;150;10;;30;40;1;0;0;4;4;4;4;1;5;;;1;42;11;4;5;3;0;5;2;2;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;3;3;6;4;2;98;50;50;35;;85;;2;3;3;2;1;1;2;1;2;1;2;1
2371;1;2;2;4;17;9;2;4;5;1;1;5;2;2;;2;3;;2;3;2;4;2;1;2;2;1;2;4;300;10;;30;50;1;1;0;2;2;2;2;2;;;;1;17;9;4;3;1;0;4;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;5;1;50;50;40;60;;;;50;2;3;2;3;1;3;2;1;1;1;1;1
2372;1;2;2;7;84;12;2;1;3;3;2;9;1;2;;2;2;;1;8;1;3;2;1;5;1;1;6;2;540;50;;70;40;2;7;6;2;1;1;1;1;;;;2;84;12;4;4;1;0;4;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;6;6;4;1;1;1;7;3;20;80;20;80;5;;1;;1;3;3;1;2;1;2;2;2;2;2;1
2373;1;2;1;7;59;5;2;2;5;3;10;1;3;2;;2;3;;2;10;2;2;3;1;1;1;1;2;1;120;0;;;;2;0;0;2;2;3;2;4;;;;1;59;5;7;7;5;0;1;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;2;5;9;;;;;;;;;2;2;4;1;3;2;2;3;2;2;2;1
2374;1;1;1;8;66;10;4;5;8;7;9;5;6;2;;2;3;;2;3;1;2;1;1;1;1;1;1;1;0;1;65;;;0;1;0;4;4;4;4;;;;;1;66;10;5;2;0;0;4;2;2;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;2;6;6;0;100;0;100;;;;;2;3;2;2;1;1;3;3;3;1;1;1
2375;1;1;1;8;14;4;2;1;4;3;8;3;6;2;;2;3;;2;5;2;2;2;2;1;1;2;2;3;540;5;;45;45;0;2;7;4;4;4;4;1;;;;1;14;4;5;2;0;0;4;1;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;2;2;;2;1;;;;;;;;1;;;;1;2;;;;;;;;;;;;;;;;;7;2;1;1;1;3;6;7;30;70;;;10;;20;;2;2;4;3;1;2;2;1;1;2;1;2
2376;1;1;2;5;90;3;1;1;4;3;7;4;2;2;;2;3;;2;9;1;1;1;2;1;1;1;6;1;600;0;;;;1;2;4;4;3;3;4;1;;;;1;90;3;6;4;2;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;1;;;;2;;2;;;;;;;;;;;;;;;;6;5;2;2;2;2;7;3;50;50;100;0;0;;;;1;2;2;2;2;1;2;1;2;2;1;1
2377;1;1;1;6;13;12;4;1;5;2;5;3;7;2;;4;3;;2;3;2;4;1;1;2;1;3;3;2;540;10;;40;50;0;0;10;4;4;4;4;1;;;;1;13;12;4;3;1;2;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;1;;;;;;;;1;;;;1;1;;;;;;;;;;;;;;;;;6;6;5;1;1;3;6;3;60;40;100;0;0;;;;2;2;4;3;3;1;1;3;3;3;2;4
2378;1;1;2;9;60;5;1;5;8;5;9;10;7;2;;2;3;;2;10;7;7;1;7;1;7;7;7;7;0;0;;;;0;0;0;4;5;5;5;;;;;1;60;5;2;1;0;0;1;1;;;;;;;;;;;;;;;;1;1;;;;1;2;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;2;2;;1;;;;7;7;6;4;4;2;1;1;100;0;100;0;;;;;2;1;4;1;4;1;4;2;1;4;2;1
2379;1;1;2;9;95;1;5;7;7;3;1;10;6;1;4;;2;;2;7;1;2;1;2;2;1;1;2;3;150;10;;;;1;1;0;4;4;4;3;;;;;1;95;1;4;2;0;0;2;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;7;6;50;50;40;60;;;;;2;2;2;2;2;1;1;1;1;1;2;2
2380;1;2;2;3;21;3;4;1;5;4;1;7;2;2;;2;3;;2;6;1;1;1;1;3;2;1;6;3;510;30;;26;30;3;2;2;3;3;4;2;1;;;;1;21;3;3;3;2;0;5;2;2;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;1;3;3;5;1;40;60;40;60;20;;80;;2;3;2;2;1;2;1;2;2;2;1;1
2381;1;1;2;2;76;4;4;1;4;7;8;9;7;2;;2;3;;2;7;1;4;1;1;3;1;2;1;2;0;0;;;;0;0;0;4;4;4;4;3;;;;1;76;4;5;3;1;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;7;1;1;1;7;6;50;50;;;0;;;;2;3;2;3;1;3;2;1;1;1;2;1
2382;1;1;1;7;85;7;1;1;6;7;2;3;4;2;;2;3;;2;7;2;2;2;3;2;1;6;5;2;720;5;;51;;1;0;7;4;2;3;4;1;;;;1;85;7;4;2;0;0;4;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;1;;;;;;;;2;1;;2;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;6;1;50;50;;;0;;;;2;3;2;2;1;1;1;1;1;1;3;1
2383;1;1;2;10;75;1;5;7;7;3;9;8;7;2;;2;3;;2;6;2;2;2;2;1;1;1;2;1;60;2;;70;75;0;0;0;3;3;3;3;;;;;1;75;1;4;2;0;2;6;1;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;2;7;6;1;2;2;8;9;50;50;80;20;;;;;2;2;2;2;1;1;3;2;1;1;1;1
2384;1;1;1;5;33;9;4;1;2;3;2;3;10;2;;2;3;;2;5;1;2;1;5;3;3;2;2;5;320;5;;53;42;3;7;0;4;4;4;4;6;;;;1;33;9;3;3;1;0;6;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;7;4;0;100;10;90;;;;;2;1;4;3;1;1;2;1;1;1;2;1
2385;1;1;2;5;88;6;1;1;5;3;5;8;2;2;;2;3;;2;7;1;2;1;2;1;1;2;2;3;540;15;;40;30;1;1;1;4;4;3;3;1;;;;1;88;6;;3;0;0;5;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;2;;;;;2;1;;;;;;;;2;2;1;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;8;9;;;;;;;;;2;3;4;3;3;1;1;1;1;1;1;2
2386;1;1;2;6;2;5;2;1;5;3;1;8;6;2;;2;2;;1;10;1;1;1;1;1;1;1;2;1;540;6;;35;50;0;0;50;4;4;4;4;1;;;;1;2;5;6;3;0;0;5;1;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;3;2;1;1;1;1;8;9;;;;;;;;;1;4;2;2;1;3;3;1;1;2;2;1
2387;1;3;2;10;66;10;4;7;7;3;5;9;4;2;;2;3;;2;4;1;1;1;1;1;1;1;2;2;180;9;;45;48;1;1;0;3;4;4;4;;;;;1;66;10;4;2;0;1;3;1;;;;;;;;;;;;;;;;2;;;;;;;;2;2;1;;;;;2;2;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;3;3;3;4;5;100;0;100;0;;;;;2;2;2;3;3;3;2;3;3;1;1;1
