SERIAL;JOURV4;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C3BIS;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D30_0;D30_1;D30_2;D30_3;D30_4;D31_0;D31_1;D31_2;D32_0;D32_1;D32_2;D33_0;D33_1;D33_2;D33_3;D33_4;D33_5;D33B_0;D33B_1;D33B_2;D33B_3;D34_0;D34_1;D35;D36;D37_0;D37_1;D37_2;D38_0;D38_1;D38_2;D38_3;D39;D40_0;D40_1;D40_2;D41_0;D41_1
322;1;1;2;8;62;5;3;1;5;3;1;2;8;2;;2;3;;2;2;;2;2;1;1;2;2;2;1;2;2;2;10;1;2;1;1;2;1;1;2;4;0;;;;;;0;4;2;4;2;2;1;2;2;1;2;3;3;3;3;3;3;3;5;;;1;62;5;5;2;0;0;5;1;1;1;1;1;;;;3;3;3;4;5;1;2;2;5;;;;;3;2;5;5;3;1;3;1;1;1;1;4;2;2;3;4;4
323;1;1;1;10;87;9;4;7;7;3;9;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;2;2;1;1;1;2;0;;;;;;0;3;;4;1;2;2;2;2;1;2;2;4;4;4;4;4;;;;;1;87;9;5;2;0;2;3;1;1;2;1;1;;;;;;;;;;;;;5;;;2;3;3;4;5;2;1;2;1;1;1;1;4;2;2;3;3;3
324;1;1;2;9;95;1;5;7;7;2;1;8;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;3;0;;;;;;0;5;2;4;2;2;2;2;2;2;2;2;3;4;3;4;3;;;;;1;95;1;5;2;0;2;5;1;1;5;1;4;;;;;;;;;;;;;5;;;6;2;2;5;5;3;1;3;3;1;1;1;4;1;1;4;4;4
325;1;1;2;6;21;3;1;1;3;7;1;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;1;1;2;1;1;1;3;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;3;4;3;3;3;;;;1;21;3;8;4;2;0;6;1;1;2;1;1;;;;3;1;1;4;3;2;4;2;2;;;;;1;1;5;5;3;1;4;1;1;1;1;3;3;2;3;4;4
326;1;1;2;2;17;9;1;1;5;7;4;3;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;5;1;1;2;5;660;4;;;;;0;3;2;4;2;2;2;2;2;2;2;2;4;3;4;4;4;1;5;;;1;17;9;6;4;2;0;5;1;1;1;1;1;1;1;1;1;1;1;3;3;6;5;5;5;;;;;2;2;5;5;1;1;1;1;1;1;1;4;2;2;3;4;4
327;1;1;2;3;17;9;1;1;5;3;1;10;7;1;5;;1;;2;2;;2;2;2;2;1;2;2;2;2;2;2;9;4;4;3;1;6;6;6;1;4;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;1;1;2;1;1;5;;;;1;17;9;4;4;2;0;5;1;5;2;4;1;;;;2;2;1;6;3;6;1;5;2;;;;;4;4;5;5;2;2;2;1;1;1;1;4;1;1;1;2;2
328;1;2;2;1;28;2;2;8;8;3;1;3;4;2;;2;3;;2;2;;2;2;2;2;3;2;2;2;2;2;2;10;3;3;3;1;2;6;1;1;6;0;;;;;;0;2;2;4;2;2;2;3;2;2;2;2;4;4;4;4;4;;;;;1;28;2;5;5;3;0;2;1;2;1;2;2;;;;;;;;;;;;;5;;5;5;3;5;4;5;3;2;4;1;3;1;1;3;1;1;3;3;3
329;1;2;2;2;67;6;4;5;8;1;3;8;4;1;2;;3;;2;2;;1;1;1;1;1;2;2;3;2;2;2;8;1;3;1;1;2;6;1;1;3;0;;;;;;0;3;2;4;2;1;2;2;2;2;2;2;3;3;3;2;3;;;;;1;67;6;3;1;0;0;6;3;1;5;1;1;;;;;;;;;;;;;5;;;4;2;2;5;5;2;1;3;1;1;1;1;4;2;1;3;4;3
330;1;2;2;3;38;11;1;5;8;1;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;4;3;4;1;1;2;3;4;60;2;;;;;1;2;2;1;1;2;2;2;2;2;2;2;3;2;4;2;1;;;;;1;38;11;4;1;0;0;4;1;3;4;5;4;;;;;;;;;;;;;4;;;3;3;5;3;5;2;1;2;1;1;1;2;3;1;1;3;2;2
331;1;2;2;3;54;6;4;2;4;7;1;5;11;1;2;;1;;1;1;39.5;1;2;1;2;1;1;2;1;1;1;2;6;2;2;2;4;2;5;3;4;3;306;2;;;;;6;2;2;2;2;2;1;2;2;2;2;2;3;3;2;2;2;1;;;;1;54;6;5;4;2;0;4;2;3;1;3;4;2;1;1;;;;4;2;2;2;3;4;;;;;2;3;2;2;3;3;2;2;3;1;1;2;2;3;2;3;2
332;1;2;1;1;51;6;3;8;8;1;7;1;3;2;;1;1;;2;2;;2;2;2;3;2;3;3;2;2;1;2;9;2;1;1;1;1;1;2;1;1;1022;4;;;;;1;1;;4;2;2;2;2;2;2;2;2;1;1;1;1;1;;;;;1;51;6;2;1;1;1;3;1;1;1;1;1;;;;;;;;;;;;;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
333;1;1;1;10;87;9;1;7;7;3;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;3;3;2;2;1;1;1;2;6;60;2;;;;;3;4;;4;2;2;2;2;2;2;2;2;4;4;4;4;1;;;;;1;87;9;5;2;0;2;3;1;1;1;1;1;;;;;;;;;;;;;5;;;5;2;2;6;5;3;1;4;3;1;1;1;3;2;2;3;3;3
334;1;1;1;4;44;7;1;1;5;3;1;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;2;5;2;1;2;2;6;540;4;;;;;0;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;2;1;;;;1;44;7;4;4;2;0;4;1;2;2;2;1;3;1;1;;;;5;5;5;5;5;5;;;;;2;2;5;1;2;2;2;1;1;1;1;4;2;2;3;2;2
335;1;3;2;6;26;11;2;1;4;2;2;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;4;2;2;1;1;1;1;4;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;3;3;5;;;1;26;11;5;2;0;0;5;1;1;4;1;3;;;;3;1;1;4;5;5;5;5;5;;;;;2;2;5;4;4;2;3;3;1;1;1;4;2;2;4;3;3
336;1;3;2;7;26;11;4;1;5;3;8;1;2;2;;2;3;;2;1;37.9;1;2;1;2;2;2;2;2;1;2;2;8;1;1;1;1;1;1;2;1;1;0;;;;;;0;2;2;4;1;2;2;2;2;2;2;2;3;3;3;3;3;1;;;;1;26;11;4;4;2;0;5;1;1;3;2;1;1;1;1;;;;2;3;1;3;3;3;;;;;2;2;4;5;3;1;3;1;1;1;1;2;3;2;3;2;4
337;1;1;2;10;59;5;1;3;5;3;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;4;1;1;1;1;1;2;2;60;1;;;;;15;1;2;4;2;2;2;2;2;1;2;2;3;3;4;3;4;6;;;;1;59;5;6;2;0;0;4;1;3;2;2;1;;;;3;3;3;5;5;5;5;5;5;;;;;2;2;3;3;3;2;3;1;1;1;2;4;2;3;3;4;4
338;1;1;1;9;91;1;5;7;7;3;8;6;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;2;1;3;3;3;240;1;2;;;;0;3;;4;1;2;2;2;2;2;2;2;4;4;4;3;4;;;;;1;91;1;7;2;0;0;5;1;1;2;1;1;;;;;;;;;;;;;5;;;6;2;2;3;4;2;2;4;3;2;2;4;4;2;2;3;2;2
339;1;2;2;9;69;11;4;7;7;3;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;2;1;1;2;1;45;1;;;;;2;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;69;11;4;2;0;0;5;3;1;2;1;1;;;;;;;;;;;;;5;;;6;2;2;5;5;1;1;1;1;1;1;1;4;2;2;3;4;4
340;1;1;2;10;83;12;4;7;7;1;3;4;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;1;2;1;1;1;1;2;45;1;;;;;0;5;2;1;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;83;12;3;1;0;0;5;5;1;2;1;1;;;;;;;;;;;;;5;;;3;3;2;5;5;3;2;2;1;1;1;1;4;2;2;4;4;4
341;1;2;2;4;77;1;5;1;4;1;10;6;8;2;;2;3;;1;2;;2;2;2;2;2;3;2;2;2;2;2;3;1;1;1;2;1;1;1;2;3;240;1;2;;;;5;2;2;4;1;2;2;2;2;2;2;2;4;4;4;4;3;5;;;;1;77;1;6;4;0;2;4;1;2;3;1;1;;;;1;1;2;2;2;2;2;2;2;;;;;3;3;4;5;1;1;1;1;1;1;1;3;2;2;3;2;2
342;1;1;2;4;72;7;1;1;5;3;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;2;1;1;5;1;1;5;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;2;3;3;2;5;;;;1;72;7;7;4;2;0;6;1;1;3;3;2;;;;3;3;3;4;3;5;2;2;4;;;;;2;2;3;5;3;1;2;1;1;1;1;4;2;1;4;4;3
343;1;3;2;9;38;11;4;6;8;3;1;4;5;3;;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;1;10;1;2;1;1;1;1;3;2;2;120;3;;;;;2;2;2;1;2;2;1;2;2;2;1;3;1;1;1;1;1;;;;;1;38;11;3;2;0;0;2;5;1;2;2;1;;;;;;;;;;;;;2;;;3;1;1;2;5;2;2;1;1;1;1;1;3;2;2;3;3;3
344;1;1;2;10;94;1;5;7;7;6;1;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;1;2;0;;;;;;1;2;2;4;2;2;2;2;2;2;2;2;4;1;1;4;4;;;;;2;91;1;6;2;0;2;3;1;1;2;1;1;;;;;;;;;;;;;6;;;3;2;2;4;5;3;2;3;1;1;1;1;4;2;2;3;4;4
345;1;1;1;7;70;3;2;1;5;3;3;4;2;1;7;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;0;2;1;1;1;2;1;1;6;3;600;4;;;;;154;3;;4;2;2;2;2;2;2;2;2;4;4;4;1;4;1;;;;1;70;3;4;2;0;0;5;1;1;4;1;1;3;1;3;;;;3;4;5;1;1;5;;;;;4;4;5;3;2;1;2;1;1;1;1;4;1;1;4;2;2
346;1;1;2;10;33;9;4;7;7;3;1;6;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;4;120;1;;;;;2;4;2;4;2;2;2;2;2;2;2;2;3;3;3;4;4;;;;;1;33;9;3;2;0;0;4;1;6;2;1;1;;;;;;;;;;;;;5;;;5;3;3;4;5;4;1;4;2;1;1;1;4;1;1;3;4;4
347;1;1;2;10;62;5;1;7;7;3;1;3;2;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;1;2;2;9;1;2;2;1;1;2;1;2;2;70;5;;;;;1;3;2;4;1;2;1;2;2;1;2;2;4;3;3;4;3;;;;;1;62;5;7;2;0;0;6;1;2;2;3;1;;;;;;;;;;;;;5;;;5;2;2;4;3;3;1;4;2;1;1;1;4;2;2;4;3;3
348;1;1;1;9;14;4;4;7;7;3;1;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;3;3;4;1;1;1;2;4;120;2;;;;;0;2;;4;2;2;2;2;2;2;2;2;3;4;4;3;2;;;;;1;14;4;5;2;0;0;4;1;1;1;1;1;;;;;;;;;;;;;5;;;3;4;4;5;5;3;2;3;2;1;1;2;4;2;2;3;3;3
349;1;3;1;10;18;2;1;7;7;3;1;10;2;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;2;2;2;1;6;1;3;105;1;2;;;;3;2;;4;2;2;1;2;2;2;2;2;2;3;2;3;4;;;;;1;18;2;5;2;0;0;3;1;1;2;1;1;;;;;;;;;;;;;6;;;4;3;3;5;3;3;2;3;2;2;2;2;4;2;1;3;3;3
350;1;1;1;9;33;9;4;7;7;3;3;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;4;3;1;1;1;2;1;4;15;1;;;;;0;3;;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;33;9;6;2;0;0;4;1;1;2;1;1;;;;;;;;;;;;;5;;;5;1;6;5;5;3;1;3;4;1;1;1;3;1;1;3;3;3
351;1;1;2;3;14;4;2;1;4;7;7;1;2;1;3;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;7;1;2;1;1;2;1;1;2;6;60;4;;;;;15;2;2;3;2;2;2;2;2;2;2;2;3;2;3;4;2;3;;;;1;14;4;8;4;1;1;5;1;1;3;2;1;;;;1;1;1;3;5;5;5;2;3;;;;;2;2;5;5;2;1;3;2;1;1;1;4;1;1;4;4;4
352;1;1;2;6;70;3;1;1;4;3;1;9;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;1;1;1;2;2;2;0;;;;;;0;2;2;4;2;2;2;2;2;3;2;2;3;3;4;4;4;4;;;;1;70;3;6;4;1;0;4;1;1;3;1;4;;;;1;1;1;6;3;6;6;6;6;;;;;2;3;4;5;4;1;2;1;1;1;1;4;1;3;3;3;3
353;1;1;2;10;81;10;3;7;7;3;5;2;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;1;2;2;3;1;1;1;1;2;20;1;;;;;5;3;2;4;2;3;1;2;2;2;2;2;4;3;3;4;3;;;;;1;81;10;5;2;0;2;6;5;2;2;2;2;;;;;;;;;;;;;3;;;5;2;2;5;5;2;2;3;1;1;1;1;4;2;1;3;4;4
354;1;1;2;10;34;10;4;7;7;3;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;2;1;1;1;1;1;1;90;1;;;;;1;2;2;4;1;2;2;2;2;2;2;2;4;4;4;4;2;;;;;1;34;10;5;2;0;2;5;1;4;4;1;1;;;;;;;;;;;;;5;;;6;3;3;4;5;2;1;1;1;1;1;1;3;2;2;2;2;2
355;1;1;2;10;29;8;4;7;7;3;1;6;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;1;1;1;6;2;1;60;2;;;;;0;4;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;29;8;6;2;0;1;3;1;1;2;1;1;;;;;;;;;;;;;5;;;1;2;2;5;5;2;2;2;1;1;1;1;4;2;2;3;4;4
356;1;1;2;7;13;12;4;1;5;5;1;5;7;1;6;;3;;2;2;;1;2;1;2;1;2;2;1;1;2;2;10;1;5;1;1;6;1;1;1;6;0;;;;;;0;3;2;4;2;1;2;2;2;1;3;2;2;1;1;2;1;4;;;;1;13;12;3;3;2;0;4;3;5;6;1;1;;;;3;3;3;2;4;1;6;6;4;;;;;3;4;5;5;4;4;4;4;2;3;1;4;1;1;4;4;4
357;1;1;2;9;91;1;5;7;7;6;1;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;1;3;1;1;1;2;1;75;1;3;;;;2;4;2;4;1;2;2;2;2;2;3;2;4;3;4;3;3;;;;;1;91;1;4;1;0;0;6;1;1;3;6;1;;;;;;;;;;;;;5;;;5;1;1;5;5;2;1;2;1;1;1;1;4;1;2;3;3;3
358;1;2;2;3;92;1;5;1;2;4;11;11;11;1;1;;1;;1;2;;2;1;1;1;2;1;3;2;2;2;2;7;4;4;4;3;3;5;4;3;4;0;;;;;;3;1;2;2;3;2;3;3;3;3;3;3;4;4;3;2;2;2;;;;2;92;1;3;2;0;0;6;3;2;4;3;5;;;;;;;5;3;3;4;4;4;;;;;2;2;1;2;2;1;2;3;2;2;3;2;2;1;4;4;1
359;1;1;2;5;59;5;1;2;4;7;1;7;4;2;;2;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;5;1;1;1;1;1;1;3;0;;;;;;0;3;2;4;2;2;2;2;2;2;2;2;4;3;4;3;3;3;;;;1;59;5;8;5;3;0;6;1;2;2;1;1;;;;1;1;1;2;5;6;5;2;6;;;;;2;2;4;5;2;2;3;1;1;1;2;3;2;1;2;2;2
360;1;2;1;3;6;12;4;1;3;3;10;4;6;2;;2;3;;2;3;;2;2;2;1;2;2;2;2;2;2;2;6;3;2;2;2;3;2;2;2;4;0;;;;;;0;2;;4;2;2;2;2;2;2;2;3;1;2;3;2;2;3;;;;1;6;12;2;2;1;0;6;2;3;2;2;2;;;;2;1;1;3;3;2;2;3;2;;;;;2;2;2;2;2;3;2;2;2;3;3;2;2;2;2;2;2
361;1;1;2;5;6;12;4;1;3;7;1;8;7;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;1;2;1;2;1;1;6;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;2;3;3;3;3;;;;1;6;12;4;3;1;0;6;1;5;4;5;1;;;;3;3;3;3;5;6;5;6;2;;;;;2;1;5;3;3;2;3;3;3;2;2;4;1;2;3;3;3
362;1;1;2;8;62;5;1;1;5;3;2;10;5;1;1;;1;;1;2;;1;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;1;1;60;1;;;;;1;4;2;3;1;2;1;2;2;1;2;2;1;1;1;1;1;3;;;;1;62;5;5;3;1;0;4;1;1;1;1;1;;;;1;1;1;3;3;4;3;5;2;;;;;1;4;1;1;1;1;1;1;1;1;1;3;1;1;3;3;3
363;1;1;2;6;27;4;2;1;4;4;1;7;6;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;2;4;3;40;1;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;4;4;3;3;1;;;;1;27;4;4;2;1;1;5;1;1;1;1;1;1;1;1;;;;3;5;5;5;2;5;;;;;1;1;5;5;1;1;3;1;1;1;1;4;1;2;3;4;4
364;1;1;1;9;51;6;4;7;7;3;1;9;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;2;1;1;1;1;1;1;3;0;;;;;;0;4;;4;2;2;2;2;2;2;2;2;4;4;3;4;4;;;;;1;51;6;5;2;0;0;3;1;5;2;5;1;;;;;;;;;;;;;5;;;5;5;5;5;5;3;1;2;1;1;1;1;4;1;2;3;4;4
365;1;2;2;9;1;11;1;7;7;3;8;2;6;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;1;2;1;1;1;3;60;5;;;;;4;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;1;11;5;2;0;0;4;1;1;4;1;1;;;;;;;;;;;;;5;;;5;2;2;5;5;3;1;2;2;1;1;1;4;2;1;2;2;3
366;1;1;1;10;77;1;5;7;7;3;10;3;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;6;1;3;1;1;1;1;3;90;1;;;;;2;3;;1;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;77;1;8;2;0;2;6;1;1;2;1;1;;;;;;;;;;;;;5;;;5;1;1;4;3;3;1;3;2;1;1;1;4;2;2;4;3;3
367;1;1;1;10;53;7;1;1;5;5;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;1;9;1;1;1;1;1;1;1;1;1;0;;;;;;0;4;;4;1;2;2;2;2;2;2;2;1;1;3;3;2;1;;;;1;53;7;4;1;0;0;5;1;5;1;1;1;1;1;1;;;;5;3;5;5;5;4;;;;;5;5;5;5;4;1;3;1;1;1;1;4;1;1;4;2;2
368;1;1;2;5;50;4;3;1;5;7;3;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;3;1;1;2;3;330;2;3;4;;;2;2;2;4;2;3;2;2;2;2;3;2;4;4;4;4;4;1;3;;;1;50;4;6;5;3;0;5;1;1;6;2;2;3;3;2;3;3;3;5;5;6;2;2;5;;;;;3;3;5;5;4;1;4;2;1;1;1;4;1;1;4;4;4
369;1;2;2;4;59;5;2;2;5;3;1;2;6;1;2;;2;;2;2;;2;3;2;1;1;2;2;2;2;3;3;10;1;1;2;2;1;1;1;1;1;0;;;;;;0;4;2;4;2;2;2;3;2;2;2;2;3;2;3;2;3;5;;;;1;59;5;2;2;0;0;6;1;6;1;5;2;;;;1;1;1;5;6;5;1;6;6;;;;;5;5;1;1;2;2;1;1;2;3;4;2;2;2;1;1;2
370;1;1;1;8;16;9;1;2;5;2;2;1;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;6;1;1;1;1;1;1;5;0;;;;;;0;4;;4;2;2;2;2;2;2;2;2;3;2;2;3;2;5;;;;1;16;9;6;2;0;0;5;1;1;3;1;2;;;;3;3;3;4;4;1;5;5;4;;;;;4;4;5;5;3;1;2;1;1;1;1;4;2;2;3;4;4
371;1;1;2;7;78;1;5;1;6;1;8;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;6;1;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;4;4;4;4;4;1;5;;;1;78;1;4;1;0;0;5;3;1;6;1;1;1;1;1;1;1;1;5;5;2;5;5;5;;;;;2;2;5;5;4;1;2;1;1;1;1;4;2;2;3;4;2
372;1;1;1;6;3;11;3;5;8;5;8;3;2;3;;;3;;2;2;;2;1;2;1;2;2;2;2;2;1;2;10;2;6;5;5;1;1;1;2;4;60;1;2;;;;0;3;;1;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;3;11;4;1;0;0;5;5;6;3;6;2;;;;;;;;;;;;;5;;;3;3;3;5;5;4;2;4;1;1;1;1;4;2;2;3;2;2
373;1;1;2;5;69;11;2;1;4;3;3;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;6;0;;;;;;0;2;2;4;2;2;1;2;2;2;2;2;3;3;3;4;4;3;;;;1;69;11;6;5;3;0;6;1;4;4;2;2;;;;3;3;3;3;3;6;3;3;5;;;;;2;2;5;5;4;2;4;1;1;1;1;4;1;1;3;4;4
374;1;1;2;10;62;5;4;7;7;6;4;2;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;4;0;;;;;;0;3;2;4;2;1;2;2;2;1;1;1;4;4;4;4;4;;;;;1;62;5;4;3;0;1;2;1;1;1;1;1;;;;;;;;;;;;;5;;;5;3;3;5;5;3;1;2;1;1;1;1;4;2;2;2;4;4
375;1;1;2;3;91;1;2;1;5;5;1;3;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;1;1;1;2;4;60;2;;;;;3;3;2;4;2;2;2;2;2;2;2;2;3;4;4;4;3;4;;;;1;91;1;5;3;2;0;6;1;3;1;1;1;;;;3;3;3;5;5;6;5;5;5;;;;;3;2;4;4;3;2;3;2;1;1;2;4;2;2;3;2;3
376;1;1;1;10;80;5;2;7;7;3;1;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;2;60;2;;;;;0;2;;4;2;1;2;2;2;2;2;2;4;4;4;4;4;;;;;1;80;5;4;2;0;2;3;1;2;2;1;2;;;;;;;;;;;;;5;;;5;2;3;4;5;2;1;3;1;1;1;1;4;2;2;4;3;4
377;1;1;2;3;49;7;3;1;5;1;1;5;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;2;1;1;2;4;4;540;4;;;;;2;1;2;4;2;2;2;2;2;2;2;2;1;3;3;3;3;1;;;;1;49;7;2;1;0;0;4;4;1;3;1;2;1;1;2;;;;3;3;6;6;6;2;;;;;2;2;5;5;4;2;4;2;2;1;2;4;2;2;4;4;4
378;1;1;2;1;33;9;1;1;5;1;1;3;5;2;;1;1;;1;2;;2;2;2;1;1;2;2;2;2;2;2;8;1;1;1;1;3;1;1;1;1;60;1;;;;;2;2;2;4;2;2;2;2;2;2;2;2;2;3;2;3;1;3;;;;1;33;9;8;4;0;0;6;1;1;1;2;4;;;;1;1;1;4;5;5;1;1;4;;;;;2;1;2;5;3;3;3;2;1;2;2;4;1;3;3;2;3
379;1;1;2;7;25;3;2;1;5;3;2;10;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;3;480;1;4;;;;20;3;2;1;2;2;2;2;2;1;2;2;4;4;4;4;4;1;;;;1;25;3;5;4;0;0;4;1;2;1;2;1;1;1;1;;;;5;5;5;5;5;5;;;;;3;3;4;5;2;1;1;1;1;1;1;4;2;2;3;4;4
380;1;1;1;5;35;8;4;1;6;2;1;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;120;1;;;;;0;2;;1;2;2;2;2;2;2;2;2;4;4;1;4;4;2;5;;;1;35;8;3;2;0;0;4;2;1;2;2;3;;;;1;1;1;4;5;1;5;5;5;;;;;2;3;4;3;3;1;2;1;1;1;1;3;3;2;3;4;4
381;1;1;1;6;83;12;4;1;1;3;1;7;4;1;6;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;2;3;600;4;;;;;3;4;;4;2;2;3;2;2;3;3;3;4;3;3;4;2;8;;;;1;83;12;;4;1;0;7;6;6;6;6;6;1;1;1;;;;1;4;5;1;6;1;;;;;5;5;6;5;4;1;4;2;1;1;1;4;1;1;4;3;3
382;1;1;2;7;50;4;1;1;3;1;2;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;4;660;4;;;;;0;3;2;4;2;2;2;2;2;2;2;2;4;4;4;4;3;1;;;;1;50;4;5;1;0;0;3;1;1;1;1;1;1;1;1;;;;3;3;5;5;5;5;;;;;2;2;5;5;3;1;4;1;1;1;1;4;2;2;4;4;4
383;1;1;1;6;31;10;4;1;5;5;2;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;8;1;3;2;1;1;2;1;2;3;90;1;2;;;;2;4;;4;2;2;3;2;2;1;2;2;1;1;3;1;1;3;5;;;1;31;10;2;1;0;0;6;1;1;2;5;1;;;;1;1;1;4;5;2;5;2;3;;;;;4;4;5;5;4;2;4;2;1;1;1;4;2;2;4;1;1
384;1;1;2;5;14;4;1;2;5;3;1;5;3;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;7;2;4;3;2;1;1;1;1;1;0;;;;;;0;2;2;4;2;2;2;2;2;2;2;2;3;3;4;3;2;3;;;;1;14;4;4;4;2;0;6;1;1;1;1;4;;;;1;3;1;4;5;5;5;6;5;;;;;2;2;4;5;3;2;2;1;1;1;1;4;2;2;3;3;2
