SERIAL;JOUR;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A7_0;A7_1;A7_2;A7_3;A7_4;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;ALEA;D1;D2;D3;D4_0;D4_1;D4_2;D5;D6
29;1;2;2;1;83;12;4;1;5;1;1;5;10;2;;3;;2;;2;2;1;1;2;2;2;2;1;2;8;1;3;1;1;2;2;1;1;4;0;;;;;;2;2;2;2;2;2;2;2;2;2;1;2;3;4;2;5;;;;2;93;1;5;5;3;0;5;1;1;3;2;1;3;2;2;2
30;1;3;1;3;62;5;3;1;5;2;1;10;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;2;6;5;5;;;;;2;3;;2;2;2;2;2;2;2;2;3;3;1;3;3;;;;1;62;5;4;2;0;0;6;1;4;2;1;1;1;1;1;3
31;1;1;2;10;33;9;4;7;7;3;1;10;4;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;3;1;1;1;6;60;1;;;;;0;4;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;33;9;4;2;0;1;3;1;3;3;1;1;1;1;1;1
32;1;3;2;3;51;6;4;2;5;4;1;3;8;2;;3;;2;;1;2;1;2;2;2;2;2;2;2;10;1;3;1;1;6;1;1;1;6;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;3;2;3;4;4;;;;1;51;6;5;4;1;0;5;2;5;5;3;1;1;1;1;1
33;1;3;1;6;6;12;4;1;3;3;10;1;9;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;1;1;6;1;1;1;1;2;3;0;;;;;;0;2;;2;2;2;2;2;2;2;2;4;3;2;4;1;;;;1;6;12;6;4;1;0;6;1;1;1;1;1;1;1;1;1
34;1;3;1;6;77;1;3;1;5;3;1;2;9;2;;2;;2;;2;2;2;2;2;2;2;2;2;2;10;1;3;2;1;3;1;1;2;6;0;;;;;;0;4;;2;2;2;2;2;1;2;2;4;4;4;4;6;;;;1;77;1;5;4;1;0;3;2;3;3;3;3;1;1;1;3
35;1;2;2;4;93;1;5;1;5;7;1;3;2;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;2;2;2;2;2;120;1;;;;;1;2;2;2;2;2;2;2;2;2;2;4;4;3;4;1;3;;;1;93;1;6;2;2;0;6;1;2;3;3;1;1;1;1;1
36;1;3;1;6;6;12;4;1;4;3;1;6;5;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;10;2;2;3;2;2;2;2;2;3;60;2;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;1;6;12;4;2;2;0;6;2;3;2;3;1;1;1;1;1
37;1;1;2;7;62;5;3;1;5;1;8;10;2;2;;3;;2;;2;2;2;1;2;2;2;2;2;2;9;1;2;1;1;1;1;1;6;4;600;4;;;;;0;4;2;2;2;2;2;2;1;2;2;4;3;4;3;1;;;;1;62;5;5;1;0;0;4;2;4;4;1;2;2;2;3;1
38;1;2;1;3;59;5;4;2;2;1;4;7;11;1;2;1;;1;0.0;1;1;1;1;2;1;1;2;1;2;10;4;5;4;6;2;4;1;3;2;0;;;;;;2;1;;1;2;2;1;2;1;2;1;3;2;2;1;1;;;;1;59;5;5;3;0;1;1;1;1;2;1;1;2;1;1;1
39;1;1;1;9;57;6;1;7;7;3;8;3;1;2;;3;;2;;2;2;2;2;2;2;2;2;2;2;9;3;6;1;2;1;1;1;1;6;45;1;2;;;;3;3;;3;2;2;2;2;2;3;2;3;3;3;3;;;;;1;57;6;4;2;0;0;4;2;5;5;3;3;3;3;1;3
