SERIAL;JOURV6;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;C11;D52_0;D52_1;D52_2;D52_3;D52_4;D52_5;D52_6;D53_0;D53_1;D53_2;D53_3;D53_4;D53_5;D53_6;D54_0;D54_1;D54_2;D54_3;D54_4;D54_5;D54_6;D55_0;D55_1;D55_2;D55_3;D55_4;D56_0;D56_1;D56_2;D56_3;D56_4;D56_5;D56_6;D57_0;D57_1;D57_2;D57_3;D57_4;D58_0;D58_1;D58_2;D58_3;D58_4;D59_0;D59_1;D59_2;D59_3;D59_4
1011;2;2;2;4;65;10;1;1;4;7;4;8;7;2;;2;3;;2;2;;2;3;2;2;2;2;2;2;2;2;2;9;1;2;6;1;2;1;2;1;1;180;1;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;3;4;4;4;1;5;;;1;65;10;6;5;3;0;4;;3;0;8;10;10;3;1;;;1;1;1;;;;;2;5;5;;;2;2;1;1;2;5;4;5;5;5;4;5;1;2;3;2;2;4;4;4;4;3;2;2;3;3;3
1012;2;1;1;4;63;11;1;1;4;7;2;5;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;3;1;1;6;6;600;2;4;;;;2;0;0;12;3;;2;2;2;2;2;2;2;2;4;3;4;3;4;1;;;;1;63;11;5;2;1;0;5;1;3;3;3;4;9;7;5;;;;;3;3;;;;;;2;3;;3;3;2;1;2;1;4;3;3;1;3;3;3;2;4;2;3;2;2;2;2;2;3;4;4;3;3
1013;2;2;1;2;67;6;1;1;6;1;1;6;8;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;1;4;5;2;1;1;3;4;600;4;;;;;3;0;2;25;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;2;67;6;7;4;0;0;5;5;10;0;8;10;0;0;9;1;;1;1;;;1;4;;4;4;;;4;2;2;1;1;1;1;4;5;5;1;5;1;1;1;3;1;1;4;2;2;3;2;3;3;3;2;3
1014;2;2;1;3;49;7;2;1;6;3;2;4;8;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;5;240;4;;;;;1;0;0;1;2;;2;3;2;2;3;3;2;2;4;1;1;2;2;1;;;;1;49;7;3;3;1;0;4;;2;5;10;3;4;7;8;;;1;;;3;1;;;4;;;4;4;2;4;1;1;2;5;5;5;5;4;5;5;2;2;3;2;2;4;3;3;3;2;2;3;3;3;1
1015;2;1;2;10;77;1;2;7;7;3;2;1;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;1;1;1;1;1;1;1;1;0;;;;;;2;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;;1;77;1;4;2;1;1;5;5;1;8;1;6;4;2;2;;3;;2;;;;;3;;2;;;;3;3;2;2;2;3;3;3;2;2;5;3;2;2;2;2;2;3;3;2;3;2;2;2;2;2;2
1016;2;2;2;10;37;2;4;7;7;4;1;4;8;1;6;;3;;2;2;;2;2;1;1;1;2;2;1;1;1;2;10;1;1;1;1;1;1;1;2;1;0;;;;;;0;1;2;0;2;2;2;2;2;2;2;1;2;2;2;1;1;2;1;;;;;1;37;2;3;1;0;1;5;3;10;10;10;7;1;5;10;4;4;4;2;;;4;4;4;4;2;;;4;3;3;1;1;3;3;1;1;2;3;2;2;2;3;2;1;2;4;4;1;3;2;2;3;3;4;4
1017;2;3;1;7;67;6;2;1;6;3;1;4;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;1;1;3;2;2;6;3;600;1;4;;;;50;0;0;5;2;;2;2;3;2;2;3;2;2;3;3;3;3;3;1;;;;1;67;6;4;3;0;0;3;;0;3;0;0;10;10;5;;;;;2;2;;;;;;1;2;;2;2;2;1;1;1;4;2;1;1;2;1;2;2;2;2;2;2;3;2;3;2;3;3;3;3;3
1018;2;1;1;10;75;1;5;7;7;3;9;8;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;1;1;2;2;2;0;;;;;;0;0;0;0;3;;1;2;1;2;2;2;2;2;4;3;4;4;1;;;;;1;75;1;1;2;0;0;5;2;7;4;10;7;7;7;4;2;;2;2;3;3;;3;;3;3;3;3;;4;4;4;3;3;1;3;2;2;1;2;3;3;2;3;2;2;1;1;1;1;2;3;3;3;3;3
1019;2;1;2;7;93;1;5;6;8;3;1;5;2;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;2;150;1;;;;;0;1;3;0;4;2;2;2;2;2;2;2;2;2;3;3;2;3;2;;;;;1;93;1;4;3;0;0;4;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;2;2;1;1;5;5;5;6;4;5;5;2;1;2;2;2;3;4;4;4;3;3;4;3;3;4
1020;2;1;2;10;86;9;3;7;7;3;1;7;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;3;1;1;1;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;1;2;2;2;3;2;4;4;4;4;4;;;;;1;86;9;10;2;0;0;6;1;3;0;0;4;0;0;0;;;;;;;;;;;;;;;3;2;3;3;3;1;5;5;2;1;2;1;2;2;2;2;2;1;2;2;2;2;4;3;3;3;3
1021;2;1;2;10;34;10;4;7;7;6;6;5;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;3;60;2;;;;;2;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;34;10;3;1;0;1;3;;0;0;3;0;0;0;5;;;;;;;;;;;;;;;1;1;1;1;2;5;5;5;5;4;5;4;2;2;2;2;2;1;1;5;1;1;3;3;3;4;4
1022;2;1;2;4;56;8;1;6;8;7;7;8;5;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;1;2;7;1;2;2;1;4;1;2;2;5;120;1;;;;;0;2;2;0;2;2;2;2;1;2;2;2;2;2;3;4;4;3;4;;;;;1;56;8;6;5;3;0;4;;0;8;0;0;10;0;0;;2;;;1;;;;1;;;1;;;3;3;3;3;2;5;3;5;5;5;5;5;2;3;2;2;3;3;2;2;2;2;2;2;2;2;2
1023;2;1;2;10;78;1;2;7;7;6;6;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;2;2;1;2;2;1;240;1;;;;;10;1;0;0;4;2;1;2;2;2;2;2;2;2;3;4;4;3;2;;;;;1;78;1;4;2;0;0;6;3;6;1;0;8;5;1;0;3;;;2;;;;3;;;2;;;;3;3;3;2;3;2;3;2;2;1;2;2;2;3;3;2;2;2;2;1;2;2;3;3;3;3;3
1024;2;1;2;6;49;7;3;1;5;1;1;10;5;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;5;1;2;2;480;4;;;;;5;0;0;5;2;2;2;2;2;2;2;2;1;2;4;4;1;4;4;1;;;;1;49;7;4;1;0;0;5;5;5;1;5;5;1;5;7;;;;;;;3;;;;;;;3;3;3;2;1;3;2;5;5;1;1;5;5;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3
1025;2;1;2;1;75;1;5;8;8;1;3;5;10;2;;2;1;;1;1;0.0;2;2;1;1;1;2;2;2;1;1;2;4;1;2;1;1;2;1;1;2;1;0;;;;;;1;0;7;0;2;2;2;2;2;2;2;2;2;2;3;1;1;4;1;;;;;1;75;1;5;4;2;0;4;;1;4;3;7;4;5;1;;;;1;;;;;;;2;;;;2;3;2;1;4;5;2;5;3;4;4;2;4;4;1;2;2;2;4;2;4;1;3;2;4;1;3
1026;2;1;1;6;61;4;1;1;4;2;3;8;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;3;600;1;4;;;;10;0;0;4;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;1;;;;1;61;4;10;3;2;0;6;5;4;4;6;5;8;0;4;;;4;;5;;;;;5;;3;;;3;3;2;1;3;5;5;5;5;5;5;5;2;3;2;2;2;2;2;1;1;2;3;3;3;3;2
1027;2;3;2;4;54;6;1;2;4;3;7;8;6;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;6;1;2;1;2;3;4;390;4;;;;;18;2;0;2;1;2;2;2;2;2;2;2;2;2;4;3;4;4;4;1;;;;1;54;6;8;2;2;0;6;4;6;0;9;10;6;7;9;2;;3;2;2;3;3;2;;2;2;2;2;1;3;2;1;2;3;4;1;1;5;4;5;1;3;2;3;3;2;2;2;1;2;2;2;2;3;4;4
1028;2;2;2;2;4;12;3;5;8;3;1;10;11;2;;2;3;;1;2;;2;2;2;2;1;2;2;2;2;2;2;9;1;1;1;1;1;2;1;2;6;240;2;3;;;;2;0;3;0;3;2;2;2;1;2;2;2;2;2;3;2;1;3;3;;;;;1;4;12;5;2;1;0;6;1;0;0;0;2;0;2;2;;;;;;;;;;;;;;;1;1;1;1;2;4;3;2;3;4;5;1;1;2;2;2;2;2;3;3;3;2;1;2;2;2;2
1029;2;2;2;1;45;2;4;1;4;2;3;4;1;1;3;;3;;2;2;;2;2;2;1;1;1;2;2;2;1;2;8;2;3;2;4;2;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;;;;1;45;2;3;1;0;0;6;1;2;0;6;8;0;0;0;;;3;5;;;;;;3;2;;;;1;2;3;1;2;1;2;5;5;1;5;4;2;2;2;1;1;1;1;2;2;1;2;2;2;3;3
1030;2;1;2;2;33;9;4;4;4;1;1;6;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;1;2;1;1;2;2;0;;;;;;0;0;1;0;5;2;2;2;3;2;2;2;2;2;2;2;2;3;1;6;;;;2;33;9;4;3;0;0;6;5;2;1;2;1;7;2;0;;;;;3;;;;;;;2;;;1;1;4;1;2;1;5;5;5;1;5;5;3;1;2;1;2;2;2;2;2;3;1;1;2;2;1
1031;2;1;2;9;75;1;5;7;7;5;9;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;1;1;1;2;2;135;1;2;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;;1;75;1;2;1;0;0;4;;0;0;0;5;0;0;0;;;;;;;;;;;;;;;3;4;3;3;2;1;2;2;2;1;2;1;3;3;3;3;3;1;2;1;1;2;3;3;3;3;3
1032;2;1;2;7;57;6;4;1;5;3;6;8;2;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;0;1;1;1;1;1;1;1;1;1;660;4;;;;;10;0;0;10;4;2;2;2;2;2;2;2;2;2;4;4;1;2;1;1;;;;1;57;6;5;5;0;0;3;;10;5;0;5;8;8;0;1;;;;3;1;;5;;;;2;5;;1;1;4;2;2;4;2;5;2;2;2;3;1;1;2;1;2;1;1;1;1;1;2;2;4;2;1
1033;2;2;2;7;88;6;2;6;8;3;1;2;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;210;1;;;;;0;0;0;0;5;2;2;2;2;2;2;2;2;2;4;4;1;4;4;;;;;1;88;6;3;2;0;0;3;;10;10;10;10;0;0;6;1;4;1;1;;;1;1;4;1;1;;;1;1;3;3;1;4;4;1;1;1;4;1;1;1;1;1;1;1;4;4;1;2;1;1;1;1;2;2
1034;2;1;1;6;95;1;5;1;5;5;9;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;2;2;60;1;4;;;;0;0;0;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;6;;;;1;95;1;1;1;0;0;5;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
1035;2;2;2;2;33;9;4;4;5;1;1;5;9;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;10;1;1;1;1;1;5;1;1;1;10;1;;;;;1;0;1;0;2;2;2;2;2;2;2;2;2;2;3;4;1;3;1;5;;;;1;33;9;4;1;1;0;4;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;4;4;4;4;4;1;1;1;1;1
1036;2;1;2;6;45;2;2;1;6;1;1;8;5;2;;2;3;;1;2;;2;2;2;2;2;1;2;2;2;2;2;10;1;1;1;1;2;1;2;4;1;1200;1;3;4;;;30;0;0;6;2;2;2;3;1;2;2;2;2;2;1;1;1;2;2;1;;;;1;45;2;5;1;0;0;4;;8;7;8;8;10;0;0;2;3;2;2;1;;;2;4;2;1;1;;;3;4;1;1;3;1;4;3;5;1;5;2;2;2;1;2;1;2;1;1;2;3;1;1;1;1;1
1037;2;1;2;7;67;6;2;4;5;1;7;2;10;3;;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;1;1;1;1;1;2;3;180;1;;;;;0;0;0;0;5;2;3;3;2;2;2;1;3;2;4;3;3;4;3;5;;;;1;67;6;2;1;0;0;4;;1;8;5;10;10;10;1;;1;;4;4;3;;;2;;2;1;1;;2;3;1;2;3;2;4;4;3;2;2;4;2;2;2;1;2;3;3;3;3;2;1;2;1;2;2
1038;2;1;2;1;73;11;4;1;4;1;1;10;5;2;;4;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;2;2;2;2;1;1;1;3;10;2;;;;;0;1;2;0;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;73;11;5;4;0;0;6;5;2;5;6;6;5;5;2;;;3;3;;;;;;3;3;;;;2;2;2;1;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;3
1039;2;2;2;2;31;10;4;1;3;1;1;5;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;3;4;3;;;;1;31;10;6;4;0;0;6;5;0;0;0;0;0;0;0;;;;;;;;;;;;;;;1;1;1;1;1;4;2;1;4;4;4;3;1;1;1;1;1;1;1;1;1;1;4;4;4;1;3
1040;2;1;2;5;62;5;4;4;6;3;7;8;1;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;1;2;1;2;1;2;60;2;;;;;0;3;1;0;3;2;2;2;2;2;2;1;2;2;3;2;2;2;1;2;;;;1;62;5;5;6;4;0;4;;10;3;0;5;5;5;10;2;;;;;;2;1;;;;;;1;2;2;3;2;2;2;2;2;2;4;2;2;2;2;2;1;3;2;1;2;1;2;1;1;1;1;2
1041;2;1;1;10;59;5;4;2;3;3;9;6;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;3;1;1;2;1;0;;;;;;0;0;0;0;3;;2;2;2;2;2;1;2;2;4;4;4;4;4;6;;;;1;59;5;9;2;0;0;6;1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;2;1;2;5;2;5;5;5;5;4;2;3;2;2;2;3;3;3;4;3;4;2;3;1;3
1042;2;1;1;4;80;5;3;1;5;7;3;4;10;2;;2;3;;2;2;;2;2;2;1;1;2;2;2;2;2;2;7;2;2;1;2;1;1;2;6;1;300;4;;;;;100;0;0;20;2;;2;2;2;2;2;2;2;2;1;1;3;2;1;8;;;;1;80;5;5;2;0;0;5;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;2;1;2;3;1;1;1;3;1;1;1;2;1;2;1;3;3;4;4;4;1;1;1;2;1
1043;2;1;2;6;81;10;3;1;3;1;7;4;8;2;;1;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;3;1;1;1;1;2;3;0;;;;;;0;0;0;0;4;2;2;2;1;2;2;2;2;2;4;2;1;2;2;3;;;;1;81;10;5;3;1;1;6;4;5;9;10;9;5;5;5;;4;2;3;;;;;4;2;3;;;;1;1;1;1;1;4;1;5;2;4;1;2;3;2;2;2;2;3;5;2;2;4;3;3;3;3;3
1044;2;3;2;8;89;3;1;2;4;3;2;10;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;1;60;1;;;;;1;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;3;4;1;4;;;;1;89;3;4;2;0;0;6;5;0;0;0;3;0;0;0;;;;;;;;;;;;;;;1;2;1;2;3;1;5;5;5;1;5;5;1;1;1;2;2;2;2;2;2;3;2;3;3;3;2
1045;2;2;2;3;34;10;3;4;4;3;8;7;1;1;3;;3;;2;2;;2;2;2;1;2;2;2;2;2;2;2;7;1;1;1;2;1;1;2;2;1;510;1;2;;;;200;2;3;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;5;;;;1;34;10;3;3;1;0;4;;9;1;10;10;10;9;5;2;;2;1;1;2;;2;;2;1;1;2;;3;2;1;2;3;3;2;2;2;4;1;1;3;2;2;1;3;3;3;3;3;2;1;1;2;2;2
1046;2;2;2;4;16;9;4;1;5;2;8;9;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;2;1;5;1;1;3;2;180;1;5;;;;0;1;0;0;5;1;2;2;1;2;2;2;2;2;3;2;2;2;2;4;;;;1;16;9;5;4;2;0;3;;6;6;0;3;8;8;3;2;2;;;1;1;;2;2;;;1;1;;3;3;1;1;3;4;3;1;4;4;2;1;1;3;2;1;1;2;1;1;1;3;3;2;3;4;4
1047;2;2;1;3;42;11;4;3;3;1;8;6;4;2;;1;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;1;5;1;;;;;1;0;0;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;42;11;3;1;0;0;6;3;0;0;0;0;10;2;0;;;;;2;;;;;;;3;;;4;4;4;3;4;1;5;5;5;1;2;1;3;2;2;2;3;1;1;1;1;1;4;4;4;4;4
1048;2;2;2;1;88;6;3;5;8;1;2;4;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;2;1;120;1;;;;;0;0;20;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;88;6;4;3;0;0;1;;10;0;0;0;10;5;10;1;;;;1;;4;4;;;;4;;4;4;4;4;4;4;5;5;5;4;2;2;4;1;2;1;1;1;3;3;3;3;2;4;4;4;4;4
1049;2;1;1;4;56;8;1;1;5;7;3;8;7;2;;2;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;7;2;2;1;3;2;1;1;3;2;120;1;;;;;6;0;0;3;2;;2;2;2;2;2;2;2;2;4;3;3;4;3;1;;;;1;56;8;4;2;0;0;5;5;2;1;1;3;3;1;2;;;;;;;;;;;;;;;3;3;2;2;2;2;3;5;5;2;3;5;3;2;3;2;2;2;2;2;2;2;2;3;3;3;3
1050;2;1;2;4;28;2;2;5;8;4;4;3;9;1;3;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;5;3;1;1;1;2;2;4;90;1;2;;;;0;1;0;0;2;2;2;2;1;2;2;1;1;2;1;1;1;1;1;;;;;1;28;2;6;4;2;0;6;4;2;2;1;2;5;1;1;;;;;;;;;;;;;;;2;2;1;2;2;5;5;5;5;5;5;3;2;2;2;2;2;3;2;2;2;2;1;1;1;3;3
1051;2;1;1;4;54;6;4;1;3;3;3;2;9;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;1;3;2;1;1;2;4;660;4;;;;;20;0;1;5;4;;2;2;2;2;2;2;2;2;2;2;3;3;3;1;;;;1;54;6;6;5;3;0;6;3;9;3;9;10;7;7;2;2;;2;1;2;2;;2;;2;2;2;2;;3;3;3;3;3;5;3;4;2;2;5;2;3;2;3;2;2;2;2;1;1;1;1;1;2;2;1
1052;2;2;1;1;92;1;5;8;8;1;11;11;11;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;1;1;2;1;1;1;25;1;;;;;3;0;0;0;2;;2;2;2;2;2;2;2;2;4;4;4;3;3;;;;;1;92;1;7;3;1;0;2;;3;1;4;4;6;0;2;;;;;2;;;;;;;2;;;3;2;1;1;2;5;5;5;4;4;5;2;2;3;1;1;2;3;4;4;3;2;3;3;3;2;2
1053;2;1;2;5;54;6;4;1;4;2;1;3;5;1;1;;1;;2;1;38.6;2;2;2;1;1;2;2;2;1;1;1;10;1;3;1;1;1;2;1;1;2;0;;;;;;2;0;2;0;3;2;2;2;1;1;1;1;1;2;1;2;1;1;1;2;;;;1;54;6;3;3;1;0;6;4;10;3;3;2;9;10;1;1;;;;1;1;;1;;;;1;1;;3;1;1;1;3;5;1;1;5;4;5;4;1;1;1;1;1;4;4;4;4;2;3;3;2;2;1
1054;2;2;2;2;13;12;4;4;8;2;2;6;8;2;;2;3;;2;2;;2;2;2;2;2;3;2;2;3;3;2;9;4;7;3;4;2;4;4;5;5;300;1;3;;;;5;2;4;0;3;2;2;2;2;2;2;2;2;2;2;3;2;3;1;;;;;1;13;12;3;3;1;0;4;;4;2;3;5;10;1;6;;;;;2;;2;;;;;2;;2;2;2;3;4;3;2;3;3;4;4;6;4;3;3;1;3;1;2;3;3;2;2;2;3;2;3;2
1055;2;1;1;3;75;1;5;1;4;2;4;5;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;2;2;1;4;3;2;180;1;;;;;10;0;0;5;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;75;1;1;3;1;0;5;5;4;8;6;6;8;4;8;;3;2;3;3;;2;;2;2;3;3;;2;2;2;2;2;2;4;4;1;5;4;4;1;2;2;2;2;2;2;3;2;2;2;1;1;1;1;1
1056;2;1;2;9;35;8;1;7;7;1;1;10;5;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;2;2;1;1;1;1;1;0;;;;;;0;2;0;0;2;2;2;2;3;2;2;2;2;2;4;4;4;4;4;;;;;1;35;8;5;1;0;0;4;;5;0;0;0;5;5;2;;;;;;;;;;;;;;;2;3;2;1;2;5;5;5;5;2;5;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;3
1057;2;1;2;10;33;9;2;7;7;3;1;9;5;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;4;2;1;;;;;1;33;9;7;2;0;0;4;;7;10;10;8;7;10;10;2;4;2;2;2;4;2;2;4;3;2;2;4;4;2;4;1;1;4;2;4;3;2;1;2;3;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2
1058;2;3;1;8;34;10;2;5;8;6;4;8;5;1;2;;1;;2;2;;2;2;1;2;1;1;2;2;2;2;2;8;1;2;1;1;2;1;1;1;1;60;3;;;;;2;0;1;0;3;;2;3;2;2;1;1;3;2;3;3;3;3;3;;;;;1;34;10;4;1;0;0;5;5;6;0;2;6;10;7;5;3;;;3;1;2;;3;;;3;1;2;;1;1;1;2;1;3;1;2;5;4;5;1;1;3;2;1;2;4;4;3;4;3;1;1;2;3;4
1059;2;1;1;4;69;11;4;1;6;1;9;10;1;2;;2;3;;2;2;;2;2;3;2;2;2;2;2;2;2;2;4;1;1;1;1;1;1;1;1;1;60;3;;;;;3;0;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;69;11;2;2;0;0;4;;6;10;10;8;7;8;10;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1
1060;2;2;2;1;94;1;5;4;8;1;1;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;3;1;3;2;1;1;1;2;0;;;;;;0;1;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;;1;94;1;4;3;0;0;6;1;3;0;0;0;0;0;5;;;;;;;;;;;;;;;3;2;4;1;3;1;3;2;5;1;5;2;3;2;3;1;2;2;2;3;3;2;3;3;3;3;3
1061;2;1;1;5;3;11;2;1;6;7;8;1;3;2;;3;3;;2;2;;2;2;2;2;1;2;2;1;2;1;2;9;1;3;1;1;2;1;1;2;3;270;1;2;;;;0;0;0;0;2;;2;2;2;2;2;2;2;2;3;3;3;3;2;5;;;;1;3;11;4;4;2;0;3;;4;3;0;6;6;5;1;;;;3;3;;;;;;2;3;;;2;2;1;2;2;5;4;5;5;2;5;4;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2
1062;3;2;2;9;57;6;2;2;5;3;8;3;4;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;1;1;1;2;2;0;;;;;;0;0;1;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;3;5;;;;1;57;6;6;2;0;0;5;3;2;4;0;8;7;1;0;;;;5;3;;;;;;3;3;;;3;3;3;2;3;1;4;3;2;1;4;4;3;2;3;2;3;2;2;2;2;2;3;4;3;2;1
1063;2;1;1;7;93;1;5;1;5;2;1;8;7;2;;2;3;;2;1;38.8;2;2;2;2;1;2;2;2;2;2;2;10;1;1;3;1;2;1;1;2;4;300;4;;;;;5;2;0;1;3;;2;1;2;2;2;2;2;2;3;1;3;1;3;1;;;;1;93;1;3;3;2;0;5;5;5;8;7;5;10;10;5;;3;2;;1;1;;;3;2;;1;1;;1;2;1;1;1;1;4;5;2;2;5;5;2;2;2;2;2;2;1;1;1;3;1;1;2;2;1
1064;2;2;1;9;6;12;4;7;7;1;11;11;11;2;;2;3;;2;2;;2;2;2;2;3;2;2;3;2;2;2;10;1;1;1;2;1;1;1;1;1;0;;;;;;0;0;0;0;4;;2;1;1;2;2;1;1;1;4;4;4;4;4;;;;;1;6;12;2;2;0;0;3;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;2;2;1;1;2;4;5;2;5;4;5;1;1;3;2;1;2;1;1;1;1;1;4;4;4;4;4
1065;2;2;2;9;93;1;5;7;7;3;8;3;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;4;1;1;2;2;120;1;2;;;;50;2;4;2;2;2;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;93;1;4;1;0;0;5;3;6;5;9;10;10;10;0;3;;2;2;2;2;;2;;2;2;1;1;;4;3;4;1;4;4;4;2;2;1;2;4;2;2;3;2;3;2;2;1;1;1;2;1;2;4;3
1066;2;1;2;4;66;10;2;1;5;2;7;8;1;1;2;;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;1;1;2;1;1;2;2;90;1;;;;;1;0;2;0;3;2;2;2;2;2;2;2;2;2;4;3;4;3;4;3;;;;1;66;10;7;3;1;0;6;5;0;0;0;0;1;1;0;;;;;;;;;;;;;;;2;3;2;2;2;5;5;5;5;5;3;3;3;2;3;3;3;3;2;2;2;2;3;3;3;3;3
