SERIAL;JOURV5;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A2BIS;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;B6Q_0;B6Q_1;B6Q_2;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C5_4;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D42_0;D42_1;D42_2;D42_3;D42_4;D42_5;D42_6;D42_7;D42_8;D42_9;D42_10;D43;D44_0;D44_1;D44_2;D44_3;D44_4;D44_5;D45_0;D45_1;D45_2;D46Q_0;D46Q_1;D46Q_2;D46Q_3;D46Q_4;D46Q_5;D46Q_6;D46Q_7;D47Q_0;D47Q_1;D47Q_2;D47Q_3;D47Q_4;D47Q_5;D47Q_6;D47Q_7;D48;D49_0;D49_1;D49_2;D49_3;D49_4;D49_5;D49_6;D49_7;D50Q_0;D50Q_1;D50Q_2;D51Q_0;D51Q_1;D51Q_2
2574;2;1;2;7;75;1;5;1;4;1;7;10;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;0;;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;75;1;2;1;0;0;6;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;3;3;3;1;2;5;2;2;1;3;2;3;3;4;4;3;5;4;1;4;4;3;4;4;3;3;4;9;1;0;6;1;0
2575;2;1;2;6;21;3;2;1;5;3;1;2;8;1;1;;1;;2;2;;1;2;1;1;1;2;2;1;2;2;2;10;1;1;1;1;1;1;1;1;1;60;1;;;;;0;0;0;0;4;2;2;2;2;2;2;1;2;2;3;2;1;2;2;5;;;;1;21;3;6;2;2;0;3;1;1;3;1;1;3;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;5;6;9;7;4;3;2;7;5;6;5;3;5;3;4;4;1;4;5;3;3;4;5;5;3;9;1;3;0;4;6
2576;2;1;2;8;29;8;3;2;5;5;1;3;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;3;3;1;1;1;2;4;120;2;;;;;0;0;0;1;2;2;2;2;2;2;2;2;2;2;3;1;2;2;3;5;;;;1;29;8;2;1;0;0;3;3;2;1;1;2;1;3;1;3;3;2;1;2;3;2;3;1;2;4;1;1;4;5;7;6;5;4;3;4;6;7;5;7;8;9;8;7;1;4;3;3;3;2;2;2;3;6;1;;0;1;
2577;2;2;2;8;26;11;1;2;5;5;1;9;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;2;65;2;;;;;1;0;0;0;2;2;2;2;2;2;2;2;2;1;3;3;2;3;3;4;;;;1;26;11;4;1;0;0;5;2;3;2;1;3;3;2;3;3;1;3;2;3;2;2;3;1;1;3;2;2;3;5;7;6;6;2;3;7;1;3;6;6;6;3;5;5;1;3;3;3;4;3;3;3;3;7;1;;;1;
2578;2;2;2;4;53;7;1;6;8;3;1;8;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;5;2;2;2;2;2;2;2;2;2;4;3;4;3;1;;;;;1;53;7;4;4;1;0;1;2;2;;2;2;4;3;3;3;3;2;3;1;1;1;2;3;2;4;2;1;3;4;8;0;3;3;1;5;4;5;4;3;6;2;7;2;1;3;3;3;3;4;2;3;4;;2;6;;3;6
2579;2;2;2;9;25;3;4;7;7;3;1;8;2;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;1;1;1;1;2;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;4;;;;;1;25;3;7;2;0;0;4;3;3;;3;3;3;3;3;3;3;3;;3;2;1;3;1;1;1;2;1;4;4;8;8;8;8;2;6;4;4;8;8;8;8;8;6;1;3;3;3;3;3;2;2;3;;5;;;5;
2580;2;1;1;3;82;10;3;1;3;3;6;2;3;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;2;1;1;2;1;1;1;2;630;4;;;;;4;0;1;3;2;;2;2;2;2;2;2;2;2;4;4;4;3;4;1;;;;1;82;10;4;2;1;0;6;3;2;3;3;2;3;1;2;3;2;3;3;3;3;3;3;2;3;2;2;3;6;10;10;8;8;6;6;9;6;8;8;7;8;5;8;8;2;2;1;1;1;1;1;1;1;6;1;2;6;1;2
2581;2;2;2;3;76;4;4;1;4;7;8;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;6;1;1;2;1;1;1;3;480;1;4;;;;10;0;0;7;2;2;2;2;2;2;2;3;2;2;4;3;4;3;3;1;3;;;1;76;4;4;2;0;0;6;2;2;2;2;1;3;1;2;2;1;2;2;3;1;1;1;2;2;3;2;2;1;6;7;4;5;4;6;7;0;3;3;0;4;10;7;2;1;2;1;5;1;2;1;3;1;10;1;;12;1;
2582;2;1;2;6;29;8;2;1;5;3;1;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;2;2;2;1;2;2;6;0;;;;;;0;0;0;1;5;2;2;2;2;2;2;2;2;2;3;3;3;4;3;3;;;;1;29;8;5;4;1;0;4;2;2;2;2;2;2;2;2;2;2;2;3;2;1;1;2;1;1;3;3;3;5;7;8;7;6;6;5;7;;;6;;6;;6;;2;5;5;3;5;5;5;5;5;8;1;1;4;1;2
2583;2;1;2;7;67;6;2;1;4;3;1;2;8;1;4;;1;2;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;4;1;3;6;1;0;;;;;;0;0;0;1;5;2;2;2;2;2;2;2;2;2;4;4;3;4;3;1;;;;1;67;6;5;4;0;0;5;3;3;2;3;3;3;2;2;2;3;3;3;3;3;2;3;4;3;4;2;2;6;7;9;8;5;3;1;6;7;7;6;7;7;6;5;5;2;2;3;5;2;3;2;5;3;8;2;;13;2;
2584;2;1;2;8;64;9;4;4;5;3;8;1;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;1;1;1;1;1;1;1;3;120;1;;;;;50;0;0;0;3;2;2;2;2;2;2;2;2;2;3;3;4;3;3;2;;;;1;64;9;8;4;0;0;5;3;1;;3;3;3;2;3;3;2;2;3;3;2;2;2;1;1;3;2;2;0;5;10;10;0;0;5;8;0;10;5;5;7;5;8;7;1;2;4;5;3;5;3;5;5;;2;;;2;
2585;2;1;2;6;37;2;4;2;3;1;7;4;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;4;6;1;2;1;1;2;3;120;1;2;;;;10;0;7;0;1;2;2;2;2;2;2;2;2;2;3;3;4;4;3;3;;;;2;36;2;7;3;0;2;6;3;1;1;3;1;3;2;1;3;1;1;2;3;5;2;5;1;1;2;3;2;5;9;9;7;7;5;;8;7;9;8;7;7;5;5;6;2;2;3;1;4;2;1;2;2;1;1;;4;;
2586;2;1;1;3;28;2;3;3;2;2;2;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;3;1;2;1;60;4;;;;;1;1;0;0;2;;2;2;2;2;2;2;2;2;1;1;1;3;1;1;;;;1;28;2;2;2;1;0;5;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;0;6;0;0;10;0;0;0;0;5;0;0;0;0;10;0;1;1;1;1;1;1;2;1;3;10;1;1;10;1;1
2587;2;1;1;10;44;7;2;7;7;3;1;10;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;1;1;1;2;4;90;1;;;;;50;1;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;44;7;3;2;0;0;5;3;2;;3;3;3;2;3;3;3;3;3;3;3;2;2;2;2;4;2;2;8;7;8;8;;7;1;7;;;;;;;;;1;2;4;3;2;2;3;2;3;;1;;;1;
2588;2;1;1;8;69;11;4;1;4;3;5;6;3;2;;2;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;2;1;60;1;;;;;5;0;0;1;3;;2;2;2;2;2;2;2;2;4;3;4;4;3;5;;;;1;69;11;4;4;0;0;4;2;2;2;3;1;3;3;2;2;3;1;3;3;3;1;3;1;2;3;2;2;5;2;6;5;3;5;1;3;0;0;0;0;0;0;0;0;1;2;3;3;2;4;4;2;3;9;2;2;0;4;3
2589;2;1;2;8;75;1;5;1;4;1;9;8;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;2;1;2;1;1;2;3;75;1;;;;;0;0;0;0;3;2;2;2;2;2;2;2;2;2;4;3;3;4;4;3;;;;2;63;11;6;3;0;2;6;3;3;2;2;3;3;3;3;2;2;3;2;3;2;2;3;3;2;5;2;3;2;4;6;6;5;3;5;5;3;2;4;3;6;5;6;4;2;2;3;2;2;2;2;2;2;8;1;;8;1;
2590;2;1;2;3;51;6;1;1;5;2;8;3;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;3;4;20;4;;;;;4;0;1;7;2;2;2;2;2;2;2;2;2;2;4;3;4;3;4;1;;;;1;51;6;3;4;2;0;3;3;1;3;1;3;1;3;1;1;1;1;2;2;2;1;3;1;1;5;1;1;8;9;10;7;8;1;0;10;7;10;7;7;7;7;8;5;2;3;3;2;3;3;1;2;2;6;2;8;7;2;12
2591;2;1;2;9;83;12;2;7;7;3;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;4;3;5;1;1;1;1;5;90;2;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;;;;;1;83;12;7;3;0;0;5;2;3;;3;3;3;3;3;3;3;3;3;3;2;1;1;2;2;4;2;2;3;4;6;5;5;5;4;5;3;5;5;6;5;1;5;3;1;4;3;3;2;3;3;3;2;;3;;;3;
2592;2;2;2;7;62;5;1;6;8;3;2;1;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;5;1;1;2;2;1;2;4;135;1;;;;;10;0;0;0;2;2;2;2;2;2;2;2;2;2;4;3;2;4;3;;;;;1;62;5;5;4;2;0;4;3;3;;3;3;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;2;5;6;6;5;3;4;4;5;3;6;5;5;4;3;5;5;1;3;2;2;2;4;2;2;3;;2;6;;2;6
2593;2;2;1;10;20;12;3;7;7;3;3;6;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;1;1;1;1;2;1;60;1;;;;;2;1;1;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;20;12;5;2;0;1;6;3;2;;3;2;3;2;2;2;2;2;2;3;3;3;2;2;2;3;2;2;6;5;6;8;3;0;0;3;8;7;8;8;0;8;0;0;2;5;4;3;3;5;3;5;2;;3;;;3;
2594;2;2;2;9;93;1;5;1;3;1;6;9;1;1;2;;3;;2;2;;3;2;2;2;2;2;2;2;2;2;2;9;1;6;1;3;2;1;1;2;4;75;1;2;;;;1;0;0;0;4;2;2;2;2;2;2;2;2;2;3;4;4;1;1;3;;;;1;93;1;4;1;0;0;5;3;3;3;2;3;3;3;3;1;2;1;2;3;3;3;3;2;1;2;2;3;6;6;7;7;7;6;3;7;6;5;7;5;6;4;6;5;1;2;2;2;2;2;2;5;5;8;1;;7;1;
2595;2;1;1;9;31;10;4;3;2;3;8;6;1;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;3;1;2;1;1;1;2;3;3;165;1;2;3;;;1;0;1;0;2;;1;2;2;2;2;2;2;2;4;4;4;3;3;5;;;;1;31;10;6;3;0;0;6;5;1;1;2;1;1;5;3;2;3;2;3;3;2;3;3;3;2;1;2;2;6;7;0;5;5;2;0;3;4;6;8;0;8;3;2;0;2;4;3;4;4;2;2;2;2;9;2;1;9;2;1
2596;2;1;2;3;45;2;4;1;5;3;3;6;5;2;;2;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;4;1;1;1;1;1;1;2;1;4;60;1;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;45;2;5;3;1;0;5;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;2;2;3;2;2;;;;;;;;;;;;;;;;;1;5;5;5;5;5;5;5;5;7;2;3;0;2;7
2597;2;2;1;6;50;4;3;1;5;4;1;3;10;2;;1;3;;2;2;;2;2;2;1;2;2;2;1;2;2;2;7;1;1;1;1;1;1;1;2;2;360;1;4;;;;4;0;0;2;3;;2;2;3;2;2;2;2;2;3;1;3;1;4;1;;;;1;50;4;4;3;2;0;5;2;1;1;2;1;2;4;1;1;2;1;2;2;2;1;3;1;1;5;1;1;9;6;9;8;6;3;1;5;9;9;9;6;2;9;4;5;2;2;4;1;1;4;1;1;2;7;1;2;6;2;1
2598;2;1;2;7;93;1;5;1;3;5;3;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;4;1;1;1;1;1;1;6;60;1;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;4;3;3;;;;1;93;1;3;1;0;0;6;3;3;2;3;3;1;3;1;3;1;3;2;3;2;2;3;1;1;5;2;1;6;9;9;9;6;7;3;5;7;8;6;7;6;8;5;5;2;2;2;1;1;2;2;2;2;9;1;;10;1;
2599;2;1;2;4;83;12;4;1;4;2;1;8;6;2;;1;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;6;1;1;6;2;570;4;;;;;40;0;5;5;3;2;2;2;1;2;2;2;2;2;4;3;4;4;3;1;;;;1;83;12;5;4;2;0;6;3;1;1;1;3;2;1;2;2;2;3;2;2;1;2;2;1;1;5;1;1;7;8;8;7;7;7;0;0;5;5;5;8;5;2;2;2;2;2;3;2;3;3;2;2;2;8;3;7;8;3;7
2600;2;1;2;3;30;10;1;1;4;2;10;8;9;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;1;2;2;1;2;3;120;2;;;;;2;0;3;0;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;6;;;;1;30;10;4;2;0;0;6;3;2;2;2;3;2;3;3;2;2;2;2;3;2;2;2;2;2;2;4;3;6;7;7;5;6;3;0;0;6;7;4;6;6;2;2;6;2;2;3;3;2;2;2;2;2;9;1;;0;2;
2601;2;1;2;8;44;7;4;1;5;1;9;4;10;2;;2;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;3;1;1;6;1;1;1;6;0;;;;;;0;0;0;5;3;2;2;2;2;2;2;2;2;2;2;1;1;3;1;2;;;;1;44;7;4;2;0;0;5;2;1;3;2;3;5;3;1;1;1;3;2;3;1;1;1;3;3;4;1;1;9;5;10;5;9;5;0;10;8;8;10;0;10;5;5;0;1;5;2;5;2;2;2;2;1;10;1;;10;1;
2602;2;1;1;9;85;7;1;7;7;3;1;2;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;2;2;2;2;1;1;1;3;0;;;;;;0;2;0;0;3;;2;2;2;2;2;2;2;2;4;3;4;4;3;;;;;1;85;7;6;2;0;0;1;3;2;;3;3;2;3;3;3;2;3;3;3;3;3;2;2;2;3;2;2;3;6;5;5;4;3;3;4;3;6;4;5;3;3;3;3;1;4;3;3;3;3;3;3;4;;2;;;2;
2603;2;2;1;7;13;12;4;1;4;5;2;9;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;2;1;1;1;1;1;2;2;60;1;2;;;;0;0;1;1;3;;2;1;2;2;2;2;2;2;4;4;4;4;4;1;3;;;1;13;12;3;2;0;0;5;3;1;3;3;3;3;3;3;3;1;2;2;3;3;2;3;3;3;3;2;2;3;3;7;7;5;3;0;7;3;4;5;7;6;7;6;7;1;5;5;5;5;5;5;5;5;9;2;1;3;2;1
2604;2;3;2;10;92;1;5;1;5;1;6;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;4;6;2;2;1;3;1;1;65;1;;;;;150;0;0;0;1;2;2;2;2;2;2;2;2;2;3;3;2;3;2;5;;;;1;92;1;1;2;0;1;4;2;2;3;3;3;1;2;3;3;2;2;1;3;3;1;2;2;1;2;2;3;6;6;6;6;6;6;;2;6;;6;6;7;;8;7;2;2;2;2;3;1;2;5;2;8;1;;0;2;
2605;2;1;1;5;79;9;2;4;3;2;3;4;8;2;;2;3;;2;2;;2;2;3;2;2;2;2;1;2;2;2;8;3;3;3;4;1;1;1;1;4;60;1;;;;;2;1;0;0;2;;2;2;3;2;2;2;2;2;3;3;4;3;4;5;;;;1;79;9;5;3;0;1;5;1;2;;1;1;1;1;1;1;3;1;2;2;1;1;2;2;2;5;2;1;0;5;6;6;5;0;0;0;0;0;0;0;0;0;0;0;1;4;3;4;4;4;3;4;3;;;;;;
2606;2;1;1;7;14;4;1;1;6;3;1;5;2;2;;2;3;;2;2;;2;2;2;2;1;2;2;2;2;2;2;10;1;2;5;4;2;1;2;2;2;480;4;;;;;20;0;0;2;2;;2;2;2;2;2;2;2;2;3;2;3;3;3;5;;;;1;14;4;7;4;0;0;5;2;1;1;1;2;2;3;4;3;2;2;3;2;2;2;3;3;2;3;3;3;6;8;9;9;8;6;5;5;6;7;6;7;6;6;6;8;2;2;5;5;2;3;2;2;1;8;1;2;0;3;3
2607;2;1;1;8;87;9;4;1;5;5;8;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;2;1;60;2;3;;;;0;0;0;0;4;;1;2;1;2;2;1;2;2;4;4;4;4;4;5;;;;1;87;9;2;1;0;0;1;3;3;1;1;3;1;3;1;1;1;2;2;5;3;3;3;3;2;5;2;2;0;1;8;5;1;0;0;5;0;3;1;1;2;5;3;;3;5;3;5;4;5;2;5;4;8;1;;;1;
2608;2;1;2;7;19;9;1;1;4;3;1;4;5;2;;2;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;2;1;2;4;5;780;3;4;;;;30;0;1;3;2;2;2;2;2;2;2;2;2;2;3;3;3;4;1;1;3;;;1;19;9;4;3;0;2;5;2;1;2;2;1;2;1;1;1;1;1;2;3;3;6;3;1;2;4;1;1;6;4;9;9;8;6;4;6;8;4;9;7;8;6;6;6;2;2;4;2;2;3;2;2;2;8;1;1;8;1;
2609;2;3;1;7;83;12;4;2;4;1;1;6;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;3;1;1;1;1;2;5;480;4;;;;;4;1;0;4;2;;2;2;2;2;2;2;2;2;4;4;4;3;4;1;;;;1;83;12;2;1;0;0;6;3;3;3;3;2;2;3;3;3;3;3;3;3;2;3;3;1;1;3;3;3;8;9;9;9;7;6;0;;7;;5;;6;4;3;4;2;2;5;5;2;5;5;5;5;8;1;;8;1;
2610;2;2;2;6;64;9;1;4;5;1;1;2;5;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;1;1;5;1;1;1;2;3;90;1;;;;;0;0;1;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;5;;;;1;64;9;5;2;0;1;3;3;1;;1;3;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;6;7;7;8;5;7;4;7;;;;;;;;;1;3;5;5;5;5;5;5;5;;;;;;
2611;2;1;1;7;59;5;3;1;4;3;2;5;6;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;1;1;1;6;4;540;4;;;;;0;0;0;80;3;;2;2;2;2;2;1;2;2;4;4;4;4;4;1;;;;1;59;5;6;6;0;0;5;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;3;3;3;1;3;5;4;5;3;0;7;0;0;2;2;6;0;6;0;1;5;3;5;3;5;5;5;5;8;4;;8;3;
2612;2;1;1;10;56;8;4;7;7;3;1;6;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;4;1;2;2;1;2;3;75;2;;;;;6;0;1;0;5;;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;56;8;5;2;0;0;4;3;3;;2;3;3;2;2;2;3;3;2;3;3;3;3;3;2;2;2;2;5;6;7;6;5;5;1;7;5;5;5;2;3;6;4;3;1;3;2;3;4;3;3;5;2;;1;;;1;
2613;2;2;2;5;44;7;4;2;4;3;6;5;7;1;5;;1;;2;2;;2;2;2;2;1;2;2;2;2;2;2;6;1;2;1;2;2;1;1;1;6;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;4;3;3;4;1;3;;;;1;44;7;10;4;2;0;6;2;1;3;1;2;3;2;2;2;3;2;3;2;2;2;2;3;3;2;3;4;5;4;8;3;;1;0;3;1;0;2;0;4;3;4;4;2;5;5;5;5;5;5;5;5;5;4;8;8;5;12
2614;2;1;2;7;44;7;4;1;4;3;2;9;8;2;;4;2;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;2;1;1;1;1;2;2;65;1;;;;;0;0;0;20;2;2;2;2;2;2;2;2;2;2;4;4;4;4;2;1;;;;1;44;7;5;4;1;0;5;3;3;3;3;3;3;3;3;3;3;3;;3;3;3;3;3;3;2;3;2;8;5;9;8;6;5;2;7;9;5;7;6;6;5;5;4;2;2;5;3;4;2;2;4;3;7;1;12;7;1;16
2615;2;1;2;4;35;8;4;1;3;3;1;3;10;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;5;1;1;6;1;6;1;6;0;;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;4;4;4;3;3;;;;1;35;8;5;4;2;0;6;3;3;3;3;3;3;3;3;3;3;3;;3;1;1;2;1;1;4;1;1;6;6;6;6;6;6;6;;6;6;10;5;6;10;;;2;2;5;5;4;5;5;5;5;8;1;2;7;2;5
2616;2;1;1;9;23;9;1;7;7;5;2;8;4;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;6;1;1;1;4;6;6;6;230;2;;;;;2;18;0;0;2;;2;3;2;2;1;1;1;2;1;1;1;4;1;;;;;1;23;9;6;1;0;0;5;3;3;;3;3;1;3;3;5;3;3;3;3;3;3;1;1;1;1;5;5;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;1;4;1;4;1;1;;1;;;1;
2617;2;2;2;5;40;9;1;1;4;3;3;7;2;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;1;1;1;1;2;2;3;75;1;;;;;3;0;0;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;4;3;;;;1;40;9;5;4;2;0;6;3;1;2;3;3;2;2;1;1;2;3;2;3;3;2;3;2;3;3;1;1;5;9;10;10;9;5;5;6;6;7;7;8;8;7;8;7;1;1;1;1;1;1;1;1;1;9;2;3;2;3;9
2618;2;1;1;10;44;7;4;7;7;3;9;6;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;2;1;3;1;1;1;2;2;50;1;;;;;0;0;0;0;4;;2;2;1;2;2;1;3;2;4;4;4;4;2;;;;;1;44;7;6;2;0;1;6;3;3;;2;3;3;2;3;3;2;3;2;3;3;2;2;2;2;3;3;4;9;4;8;6;7;3;0;2;8;4;6;5;5;5;2;3;2;2;2;2;3;3;3;2;2;;2;;;;
2619;2;1;1;8;94;1;5;1;4;2;4;1;3;3;;;1;2;2;2;;2;2;1;2;2;2;2;1;2;2;2;9;2;6;2;2;3;2;2;2;3;180;1;;;;;100;0;0;0;2;;3;1;3;2;3;1;3;3;2;2;2;2;1;3;;;;2;94;1;3;3;2;0;6;2;1;1;2;1;3;3;3;3;3;1;2;1;1;1;2;3;2;2;2;3;0;0;2;1;0;0;1;2;0;0;0;2;3;2;1;1;1;4;4;5;2;3;3;3;2;9;1;0;9;1;0
2620;2;1;2;9;38;11;1;1;3;3;1;5;6;2;;2;3;;2;2;;2;1;2;1;1;1;2;1;2;2;2;9;1;2;1;1;1;1;1;2;1;85;1;;;;;15;0;0;0;2;2;2;2;2;2;2;1;3;2;3;2;2;2;1;3;;;;1;38;11;6;4;0;0;6;2;3;3;1;3;3;1;3;3;3;3;2;2;2;1;3;3;2;3;2;2;2;8;8;8;4;6;5;10;2;5;4;5;4;2;8;4;2;4;3;1;3;3;5;2;3;10;1;;14;0;
2621;2;2;2;4;86;9;4;3;2;7;8;4;3;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;2;2;1;1;1;2;2;1;5;;;;;0;0;0;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;3;2;5;;;1;86;9;4;2;0;0;6;2;3;2;3;3;3;3;3;2;3;2;2;3;2;2;3;3;2;4;3;2;0;7;7;7;5;1;7;4;0;6;6;3;2;3;7;3;2;2;2;2;2;2;2;2;2;5;3;;5;3;
2622;2;1;2;10;87;9;4;7;7;3;1;2;8;2;;2;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;1;1;1;2;60;2;;;;;0;0;1;0;2;2;2;2;2;2;2;2;2;2;2;1;3;2;1;;;;;1;87;9;4;2;0;2;3;3;1;;1;3;2;2;3;3;1;2;3;2;1;1;1;1;1;1;2;2;3;7;8;5;6;6;6;9;2;7;6;6;8;5;6;5;2;2;2;3;3;2;2;3;3;;2;;;4;
2623;2;3;2;9;66;10;2;7;7;2;1;6;3;2;;2;3;;1;2;;2;2;2;2;2;2;2;2;2;2;1;9;1;2;1;1;1;1;1;2;1;0;;;;;;0;1;0;0;4;2;2;2;2;2;2;2;2;2;3;3;3;4;3;;;;;1;66;10;6;2;0;1;4;2;3;;3;1;4;3;2;2;3;2;2;3;3;1;3;2;1;4;1;1;1;3;6;6;3;0;0;0;1;3;3;3;6;5;5;1;2;2;5;2;3;3;2;5;2;;2;;0;3;
2624;2;1;1;9;56;8;2;7;7;3;8;10;9;2;;4;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;3;1;1;1;1;1;1;3;0;;;;;;0;0;0;0;4;;1;2;2;2;2;2;2;2;4;4;4;4;4;;;;;1;56;8;6;2;0;0;4;3;1;;2;2;3;2;3;3;2;1;2;3;3;3;3;2;2;2;2;2;1;2;10;2;0;1;0;7;1;3;2;6;8;7;8;8;1;4;3;2;3;2;3;3;4;;4;;;3;0
2625;2;1;2;7;62;5;4;1;4;3;6;8;4;2;;2;3;;2;2;;2;2;2;2;3;1;2;2;2;1;2;8;2;2;3;1;2;2;2;1;2;0;;;;;;4;0;0;0;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;1;;;;1;62;5;5;4;0;0;5;3;1;1;2;1;2;1;2;3;1;1;1;2;2;2;1;1;2;2;2;2;9;9;9;10;9;8;1;10;7;8;6;6;5;6;7;6;1;2;3;1;1;2;1;2;3;7;2;;3;4;
