SERIAL;JOURV3;DEVICE;SEXE;AGE2;DEP;REG12;AGGLO5;EMP;PCSI;MAR;A0_0;A0_1;A0_2;A1;A2;A3_0;A3_1;A3BIS;A4;A5Q;A6_0;A6_1;A6_2;A6_3;A6_4;A6_5;A6_6;A6_7;A6_8;A6_9;A6_10;B1Q;B2_0;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;B2_7;B2_8;B3Q;B4_0;B4_1;B4_2;B4_3;B4_4;B5Q;C1C2;C3;C4_0;C4_1;C4_2;C4_3;C4_4;C4_5;C4_6;C4_7;C5_0;C5_1;C5_2;C5_3;C6_0;C6_1;C6_2;C6_3;C7;C7DEP;C7REG12;C8Q;C9QA;C9QB;C9QC;C10;D15;D16Q_0;D16Q_1;D16Q_2;D16Q_3;D17;D18_0;D18_1;D18_2;D19_0;D19_1;D20;D21_0;D21_1;D21_2;D21_3;D22_0;D22_1;D22_2;D22_3;D22_4;D23_0;D23_1;D23_2;D23_3;D24;D25Q_0;D25Q_1;D25Q_2;D26;D27;D28_0;D28_1;D28_2;D28_3;D29_0;D29_1;D29_2;D29_3;D29_4;D29_5;D29_6;D29_7;D29_8
2541;3;1;1;8;13;12;3;2;6;1;1;8;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;6;1;1;1;1;2;1;120;1;2;;;;0;2;;2;2;2;2;2;2;2;2;3;1;3;3;5;;;;1;13;12;4;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;5;5;5;5
2542;3;1;1;9;62;5;3;7;7;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;4;1;1;6;1;3;45;1;;;;;3;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;62;5;5;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;5;5;5;5;4;2;5;5
2543;3;1;1;9;91;1;5;7;7;1;8;3;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;6;6;6;1;1;1;2;6;90;1;2;;;;0;3;;2;2;2;2;2;2;2;2;2;2;4;2;;;;;1;91;1;2;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;2;5;5;5;5;2;5
2544;3;1;1;10;14;4;4;7;7;3;1;6;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;3;1;1;1;1;2;4;90;1;2;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;14;4;5;2;0;2;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;3;4;5;4;5;5;4;5
2545;3;1;2;8;27;4;1;2;5;3;1;5;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;6;2;390;3;4;;;;20;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;27;4;5;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;4;5;5;4;5;5;5
2546;3;1;2;10;14;4;2;7;7;5;10;9;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;1;1;20;2;;;;;1;2;2;2;2;1;2;2;2;3;2;4;4;4;4;;;;;1;14;4;5;1;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;5;5;5;5;4;2;5;5
2547;3;1;2;7;49;7;4;1;6;1;4;1;3;3;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;1;1;1;1;1;2;6;50;3;;;;;0;2;2;3;3;3;3;3;3;3;3;1;1;1;4;5;;;;1;49;7;3;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;1;4;5;5;1;2;4;5
2548;3;1;1;7;29;8;3;1;4;7;3;5;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;3;2;2;1;1;1;1;60;1;;;;;20;2;;2;2;2;2;2;2;2;2;3;3;3;3;3;;;;1;29;8;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;5;5;5;5;1;5;2
2549;3;1;1;3;38;11;4;1;6;3;1;10;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;1;1;1;1;1;1;2;0;;;;;;0;3;;2;1;2;2;2;1;2;2;2;2;1;2;1;;;;1;38;11;4;3;1;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;4;4;4;5;4;4;4;4;4
2550;3;1;1;6;95;1;5;1;4;7;2;3;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;6;1;1;1;1;1;1;1;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;95;1;4;3;1;0;6;1;0;0;1;0;3;5;5;5;3;2;1;3;3;3;3;2;4;2;2;4;1;;;;4;3;1;3;1;3;;;1;;5;1;1;5;5;2;5;5;5
2551;3;2;1;9;83;12;2;7;7;5;8;2;5;2;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;9;2;6;3;1;1;1;1;1;6;0;;;;;;0;3;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;83;12;2;1;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;2;4;5;5;5;1;5;3
2552;3;1;2;10;7;11;2;7;7;6;6;9;1;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;1;1;1;1;6;6;1;1;45;5;;;;;0;3;2;3;2;2;2;2;3;2;2;1;1;1;1;;;;;1;7;11;4;1;0;1;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;5;5;5;5;5;5;5;5;5
2553;3;1;1;10;17;9;2;7;7;3;6;3;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;3;2;1;1;1;1;2;3;80;1;2;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;17;9;9;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;5;5;2;2;3;1
2554;3;1;1;10;77;1;1;7;7;7;3;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;5;4;4;1;1;1;1;5;0;;;;;;1;3;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;1;77;1;7;2;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;5;5;5;5;5;2;5
2555;3;1;1;7;80;5;1;4;6;1;1;6;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;1;1;2;1;1;1;6;135;1;2;;;;12;2;;2;2;2;2;2;2;2;2;4;4;4;4;5;;;;1;80;5;5;3;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;5;2;5;5;2;2;5;5
2556;3;1;1;10;85;7;3;7;7;2;3;4;7;2;;3;;2;2;;2;2;2;2;2;2;2;2;1;2;2;5;3;5;3;3;2;1;1;2;4;120;1;2;;;;4;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;85;7;7;2;0;2;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;4;5;5;4;2;5;5
2557;3;1;1;10;71;3;3;7;7;3;1;7;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;4;30;1;;;;;0;4;;2;2;2;2;2;1;2;2;4;4;4;2;;;;;1;71;3;5;2;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;5;3;5;5;4;5;5;5
2558;3;1;1;10;6;12;4;7;7;5;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;2;2;1;1;1;1;1;1;4;60;2;;;;;0;3;;2;2;2;2;2;1;2;2;3;3;3;4;;;;;1;6;12;4;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;5;5;5;5;5;5;5
2559;3;1;2;1;76;4;4;1;3;2;9;3;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;2;3;2;1;1;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;3;4;3;3;;;;2;76;4;7;4;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;2;4;1;2;3;2
2560;3;3;1;10;60;5;3;7;7;3;1;5;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;1;2;1;1;1;2;2;0;;;;;;1;4;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;60;5;5;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;4;4;3;5;4;2;4;2
2561;3;2;2;4;76;4;1;1;4;2;1;7;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;2;3;1;2;1;1;6;80;2;;;;;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;;;;1;76;4;5;4;2;0;6;1;1;0;0;0;1;1;1;1;1;1;1;3;2;3;3;2;2;1;1;3;1;;;;5;2;1;2;1;4;2;;;;5;2;5;5;5;2;2;5;5
2562;3;1;1;9;6;12;4;7;7;3;1;6;7;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;1;2;2;5;7;1;6;4;6;80;1;2;;;;20;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;2;36;2;13;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;4;5;5;4;5;2;2
2563;3;1;1;9;86;9;1;7;7;3;4;2;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;2;1;1;4;5;6;2;6;120;5;;;;;30;4;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;86;9;5;5;0;0;3;1;0;0;0;1;4;2;1;2;5;5;1;3;2;3;3;2;4;2;2;3;1;;;;3;3;0;2;1;5;;;;3;3;5;5;5;5;3;2;5;5
2564;6;2;1;3;74;11;2;1;3;7;2;7;8;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;0;1;1;1;1;1;1;1;3;2;60;1;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;74;11;8;3;1;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;6;5;5;4;6;5;5;5;5
2565;3;1;1;7;69;11;4;1;4;1;1;10;9;1;5;2;;2;1;0.0;1;1;1;1;1;1;1;1;1;1;1;10;1;1;1;1;1;1;1;1;1;120;1;2;4;;;10;1;;2;2;2;2;2;2;2;2;1;1;1;1;1;;;;1;69;11;3;4;3;0;4;1;0;0;1;2;4;4;4;4;4;1;4;1;1;1;1;4;1;4;4;1;2;3;;;5;1;1;2;1;1;;;1;1;1;2;1;5;5;2;1;2;1
2566;3;1;1;9;51;6;4;7;7;3;1;8;10;1;5;2;;2;2;;2;2;2;2;2;2;2;2;1;2;2;9;1;1;1;1;1;5;5;2;2;60;1;2;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;51;6;4;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;5;5;5;5;5;5;2;5;2
2567;3;1;2;10;9;10;2;7;7;5;1;2;7;2;;3;;2;2;;2;2;2;1;1;1;2;2;2;2;2;9;2;2;6;1;1;1;1;1;6;0;;;;;;0;4;2;2;2;2;2;2;1;2;2;2;1;1;2;;;;;1;9;10;3;1;0;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;2;2;5;5;2;5;4;5
2568;3;1;1;8;11;10;2;7;7;3;2;3;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;1;1;1;1;1;1;2;6;15;5;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;11;10;5;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;5;1;5;5;5;2;5;5
2569;3;1;2;7;51;6;1;2;6;2;1;2;9;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;3;1;2;1;1;3;6;600;4;;;;;8;2;2;2;2;2;2;2;2;2;2;4;3;3;4;1;;;;1;51;6;5;4;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;2;2;5;4;2;5;4;5
2570;3;1;1;6;49;7;4;1;5;2;1;10;2;2;;1;;2;2;;2;2;1;2;2;2;2;2;2;2;2;9;1;2;2;1;1;1;1;1;6;90;1;;;;;1;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;49;7;3;3;1;0;3;1;0;0;0;1;4;2;2;2;3;1;2;3;3;3;3;2;1;2;1;3;1;;;;2;2;1;3;1;2;;;;2;2;2;2;5;4;3;2;5;2
2571;3;1;1;8;71;3;1;1;3;2;1;2;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;2;2;90;1;;;;;15;3;;2;2;2;2;2;1;2;2;4;4;4;3;3;;;;1;71;3;4;3;1;2;6;1;0;0;1;0;3;3;3;3;3;3;2;2;2;2;2;1;4;1;2;4;1;2;;;1;2;1;3;1;4;;;4;;2;5;4;3;5;4;2;4;2
2572;3;1;1;9;27;4;2;7;7;3;8;9;1;2;;1;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;1;4;1;1;1;2;1;1;2;0;;;;;;0;4;;1;2;2;2;2;3;2;2;4;3;3;4;;;;;1;27;4;5;2;0;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;2;4;5;5;2;5;5;5
2573;3;2;2;7;72;7;2;1;5;1;8;2;6;2;;3;;2;2;;2;2;3;2;2;2;2;2;2;2;2;10;1;3;4;6;3;6;1;1;6;0;;;;;;0;1;2;2;2;2;2;2;2;2;2;1;1;1;1;4;;;;1;72;7;4;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;4;5;5;5;5;5;5;5;4
2574;3;1;1;8;92;1;5;7;7;5;1;9;2;2;;2;;1;2;;1;1;2;1;1;2;2;2;2;2;2;10;2;2;3;1;1;1;1;1;3;25;1;;;;;10;4;;1;2;2;2;2;1;2;2;1;1;2;2;;;;;1;92;1;3;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;2;2;5;2;1;4;5
2575;3;2;1;6;57;6;1;1;3;3;1;8;7;1;3;3;;2;2;;1;2;2;2;2;2;2;1;2;2;2;9;1;1;1;1;1;1;1;1;1;0;;;;;;0;3;;2;2;1;2;2;2;2;2;4;3;3;4;4;;;;1;57;6;5;2;2;0;5;1;0;0;1;1;3;5;5;5;4;3;1;3;3;2;2;3;4;2;2;3;1;2;3;;1;3;2;4;1;3;;;3;3;1;2;2;5;5;4;5;4;5
2576;3;1;1;10;71;3;3;7;7;3;6;9;8;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;3;3;4;2;1;1;1;3;60;1;;;;;0;2;;2;2;2;2;2;1;2;2;4;4;4;4;;;;;2;1;11;5;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;5;5;5;5;2;4;5
2577;3;3;1;5;53;7;1;1;6;1;3;4;5;2;;3;;2;2;;2;2;1;2;2;2;2;2;2;2;2;4;3;5;4;1;4;5;5;6;5;600;4;;;;;40;3;;2;2;2;2;2;2;2;2;3;3;4;4;1;5;;;1;53;7;5;1;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;3;5;5;4;5;4;1
2578;3;1;2;8;44;7;4;1;5;1;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;2;5;3;1;1;1;1;1;3;60;2;;;;;0;3;2;2;2;1;2;2;2;2;2;4;2;4;4;3;;;;1;44;7;3;1;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;2;2;5;5;3;5;3;5
2579;3;1;1;7;35;8;2;1;6;3;2;10;1;2;;3;;2;2;;1;2;2;2;2;2;2;2;2;2;2;7;1;1;1;1;1;1;1;1;4;50;2;;;;;0;3;;2;2;2;2;2;2;2;2;3;4;4;4;5;;;;1;35;8;4;4;2;0;4;1;0;1;1;0;3;5;2;2;3;1;2;1;2;2;3;2;3;2;5;1;1;2;3;;3;1;0;1;1;1;;4;2;;5;1;5;4;4;1;4;5;2
2580;3;2;1;10;83;12;4;7;7;3;9;10;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;1;1;1;1;1;1;2;2;20;1;;;;;0;2;;2;1;2;2;2;2;2;2;4;4;4;4;;;;;1;83;12;3;2;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;5;5;5;5;5;5;5
2581;3;3;1;9;73;11;2;7;7;3;1;8;7;1;5;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;9;1;4;3;4;2;1;1;3;4;180;1;2;;;;2;2;;2;2;2;2;2;2;2;2;4;3;4;3;;;;;1;73;11;4;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;5;5;5;5;2;2;5;1
2582;3;2;2;1;69;11;4;8;8;1;8;3;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;2;1;2;1;1;1;1;2;0;;;;;;0;3;2;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;69;11;7;3;0;0;7;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;5;5;2;5;5;5;5;4;2
2583;3;3;1;10;83;12;3;7;7;3;8;9;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;1;3;1;1;1;1;2;2;75;1;;;;;0;2;;2;2;2;2;2;2;2;2;3;3;3;4;;;;;1;83;12;3;2;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;5;4;5;5;4;2;5;5
2584;3;1;1;8;27;4;1;1;5;1;1;8;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;3;1;6;5;6;1;3;0;;;;;;0;4;;1;2;2;2;2;2;2;2;3;3;3;3;5;;;;1;27;4;3;1;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;5;5;5;5;5;2;5;2
2585;3;3;1;10;67;6;1;7;7;3;1;8;9;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;3;1;1;2;4;120;1;5;;;;5;3;;2;2;2;2;2;2;2;2;3;3;4;3;;;;;1;67;6;8;2;0;1;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;5;5;5;5;5;4;5
2586;3;1;2;7;15;11;1;6;8;3;7;9;4;2;;3;;1;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;1;1;1;1;1;1;6;60;5;;;;;1;1;2;2;2;1;2;2;2;2;2;4;4;4;1;;;;;1;15;11;6;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;5;5;5;5;5;5;5;5
2587;3;1;2;10;60;5;1;7;7;3;1;3;4;2;;3;;2;1;0.0;2;2;1;2;2;2;2;2;2;2;2;9;1;6;1;1;1;1;1;1;6;0;;;;;;1;4;2;2;2;1;2;2;2;3;3;2;1;2;2;;;;;1;60;5;4;2;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;2;5;5;2;5
2588;3;1;1;10;33;9;4;7;7;3;1;8;7;2;;2;;1;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;1;2;1;1;1;1;3;0;;;;;;0;3;;2;2;2;2;2;2;2;2;4;4;4;3;;;;;1;33;9;5;2;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;5;5;2;2;2;2
2589;3;3;1;10;57;6;4;7;7;5;1;3;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;3;1;1;1;1;1;2;6;60;2;;;;;0;3;;2;2;1;2;2;2;2;2;4;4;4;4;;;;;1;57;6;2;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;5;5;5;5;5;5;5;2
2590;3;1;1;8;14;4;2;1;4;3;6;4;3;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;2;2;1;4;1;1;1;6;3;0;;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;4;4;1;8;;;1;14;4;4;2;0;0;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;5;5;5;2;5;5;2
2591;3;1;2;10;78;1;5;7;7;3;1;8;6;2;;3;;2;2;;2;2;1;2;2;2;2;2;1;2;2;8;1;1;1;3;1;1;1;1;2;15;2;;;;;0;4;2;1;2;2;2;2;1;2;2;4;4;4;4;;;;;1;78;1;4;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;2;5;5;5
2592;3;1;1;10;62;5;3;7;7;1;6;5;1;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;0;1;3;4;1;3;1;4;2;4;120;1;2;;;;4;2;;3;2;2;2;2;2;2;2;4;3;4;3;;;;;1;62;5;4;1;0;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;2;5;5;5;5;5;5
2593;3;3;2;10;28;2;3;7;7;3;1;10;3;2;;3;;1;2;;2;2;2;2;1;2;2;2;2;2;2;10;2;1;3;1;1;1;1;1;3;0;;;;;;1;2;2;2;1;2;2;2;2;2;2;2;2;2;1;;;;;1;28;2;4;2;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;4;5;5;5;4;3;4;5
2594;3;1;1;10;71;3;1;7;7;5;3;4;10;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;7;2;6;3;1;1;1;1;1;3;240;1;;;;;0;4;;1;1;2;2;2;1;2;2;4;4;4;4;;;;;1;71;3;6;1;0;1;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;5;5;5;5;5;5;5;5
2595;3;1;1;8;64;9;4;1;4;1;1;6;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;3;3;1;4;1;1;2;2;6;60;2;;;;;0;2;;2;2;2;2;2;2;2;2;4;4;4;4;3;;;;1;64;9;3;1;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;5;5;5;2;5;2
2596;3;1;2;7;13;12;2;6;8;3;1;9;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;2;1;1;1;1;1;2;0;;;;;;0;3;2;2;2;2;2;2;1;2;2;4;3;3;3;;;;;1;13;12;4;4;2;0;3;1;0;0;1;1;3;1;1;1;2;1;1;3;3;2;2;5;3;5;5;3;1;2;;;4;1;1;1;1;4;;;4;4;4;2;3;5;5;4;5;5;4
2597;3;1;2;6;77;1;3;3;3;1;8;1;9;1;4;2;;2;2;;2;2;2;2;2;2;2;2;2;1;2;7;2;2;2;2;1;1;1;2;2;300;1;4;;;;5;2;2;2;2;2;2;2;2;2;2;3;3;3;3;1;;;;1;77;1;3;1;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;5;2;2;5;5;2;2;5;5
2598;3;1;1;10;65;10;1;7;7;3;1;8;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;8;1;3;3;1;5;1;1;1;2;150;1;;;;;20;2;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;65;10;7;2;0;2;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;2;5;4;5;5;4;5;5;5
2599;3;1;1;7;40;9;2;5;8;3;1;8;2;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;1;4;1;1;1;6;1;6;0;;;;;;0;3;;1;2;2;2;2;2;2;2;4;4;4;4;;;;;1;40;9;5;3;0;0;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4;5;4;5;5;4;4;4;5
2600;3;2;2;2;67;6;2;2;4;3;8;2;1;1;2;2;;2;3;;2;2;2;2;2;2;2;2;2;2;2;10;1;2;1;1;6;2;1;6;2;900;1;4;;;;25;2;2;2;2;2;2;2;2;2;2;3;1;3;2;1;8;;;1;67;6;5;3;1;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;2;1;2;5;5;2;5;5;5
2601;3;1;1;4;56;8;3;1;4;2;5;6;7;1;1;1;;1;1;38.5;2;1;2;2;2;2;2;2;2;2;1;6;1;4;4;3;4;5;5;3;4;1020;1;;;;;2;2;;2;3;3;3;3;3;2;2;3;3;4;3;1;2;;;1;56;8;4;3;1;2;3;1;0;0;0;0;5;3;2;2;3;2;1;2;1;2;2;4;2;3;4;2;2;;;;1;1;0;0;1;2;;;;;4;4;3;3;2;2;2;3;2
2602;3;1;1;9;14;4;2;7;7;5;1;6;5;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;2;6;3;2;1;1;1;1;6;150;1;2;;;;10;3;;2;2;2;2;2;2;2;2;4;4;4;4;;;;;1;14;4;6;1;0;0;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;5;4;5;5;4;1;4;2
2603;3;1;1;10;18;2;3;7;7;3;1;8;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;10;1;1;2;1;1;1;1;2;1;45;1;;;;;0;4;;2;2;2;2;2;2;2;2;4;4;2;3;;;;;1;18;2;4;2;0;0;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;2;5;5;5;5;4;5;5;5
2604;3;2;1;6;92;1;5;1;5;3;8;11;4;1;1;3;;1;1;40.0;1;1;1;1;1;2;1;1;1;1;2;8;1;2;1;2;1;1;1;2;2;0;;;;;;0;4;;2;2;2;2;2;2;2;2;4;1;2;4;5;;;;1;92;1;4;4;2;0;5;1;0;0;1;1;3;2;5;5;4;3;2;3;3;3;3;1;4;2;1;3;2;;;;2;4;2;4;1;4;;;4;4;1;5;4;3;5;4;1;4;1
2605;3;3;2;9;75;1;5;1;3;2;5;9;6;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;5;1;3;7;2;2;1;3;2;6;60;1;;;;;3;4;2;2;2;2;2;2;2;2;2;3;4;3;3;2;3;;;1;75;1;3;2;0;0;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;1;2;1;5;3;3;3;5
2606;3;2;2;4;37;2;4;1;5;2;3;1;4;2;;3;;2;2;;2;2;2;2;2;2;2;2;2;2;2;6;3;2;1;1;1;1;1;1;3;0;;;;;;0;2;2;2;2;2;2;2;2;2;2;3;4;4;2;3;;;;1;37;2;2;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;5;2;5;5;2;1;2;5
2607;3;3;2;9;62;5;1;7;7;3;1;6;8;2;;3;;2;2;;2;2;2;2;2;1;2;2;2;2;2;9;1;1;1;1;1;1;1;1;4;50;2;;;;;0;1;2;2;2;2;2;2;2;2;2;4;3;3;3;;;;;1;62;5;6;2;0;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;4;2;4;5;4;4;2;4;2
